filename,I0_mean_orig,I0_mean_filt,I0_std_orig,I0_std_filt,tau_mean_orig,tau_mean_filt,tau_std_orig,tau_std_filt,B_mean_orig,B_mean_filt,B_std_orig,B_std_filt,residuals_std_mean_orig,residuals_std_mean_filt,residuals_std_std_orig,residuals_std_std_filt
processed_data_batch_45.npz,1.448185,1.448184,0.034367,0.034367,138.454485,138.454648,0.310762,0.310803,0.023102,0.023102,0.000099,0.000099,0.003299,0.002776,0.000064,0.000063
processed_data_batch_46.npz,1.435122,1.434930,0.056085,0.056099,137.760181,137.807127,0.828497,0.605526,0.023160,0.023133,0.000252,0.000126,0.003366,0.002867,0.000549,0.000829
processed_data_batch_47.npz,1.431058,1.431056,0.056672,0.056672,135.797796,135.797954,0.397414,0.397408,0.023182,0.023182,0.000095,0.000095,0.003292,0.002782,0.000067,0.000084
processed_data_batch_48.npz,1.364223,1.364222,0.052941,0.052941,121.676795,121.676978,1.971050,1.971037,0.023141,0.023141,0.000086,0.000086,0.003231,0.002712,0.000062,0.000081
processed_data_batch_49.npz,0.995751,0.995748,0.048126,0.048127,68.866107,68.866312,3.772059,3.772015,0.023095,0.023095,0.000075,0.000075,0.003031,0.002473,0.000095,0.000114
processed_data_batch_50.npz,0.299197,0.299189,0.036655,0.036656,26.262782,26.263477,1.516223,1.516119,0.023010,0.023010,0.000054,0.000054,0.002897,0.002310,0.000059,0.000083
processed_data_batch_51.npz,0.047593,0.047570,0.005444,0.005444,13.796832,13.803843,0.472391,0.471722,0.023008,0.023008,0.000057,0.000057,0.002874,0.002275,0.000057,0.000075
processed_data_batch_52.npz,0.044307,0.044288,0.004735,0.004738,13.598745,13.605045,0.446440,0.446161,0.023040,0.023040,0.000058,0.000058,0.002889,0.002290,0.000058,0.000081
processed_data_batch_53.npz,0.263928,0.263919,0.036210,0.036212,24.842729,24.843622,1.454806,1.454554,0.023043,0.023043,0.000060,0.000060,0.002894,0.002291,0.000059,0.000075
processed_data_batch_54.npz,0.958735,0.958701,0.054139,0.054246,66.044405,66.050384,3.837541,3.829027,0.023125,0.023123,0.000091,0.000079,0.003045,0.002470,0.000189,0.000241
processed_data_batch_55.npz,1.359102,1.359101,0.050035,0.050035,120.578907,120.579065,2.431797,2.431826,0.023238,0.023238,0.000104,0.000104,0.003225,0.002699,0.000061,0.000075
processed_data_batch_56.npz,1.428924,1.428922,0.047653,0.047653,135.838870,135.839067,0.471914,0.471880,0.023230,0.023229,0.000118,0.000118,0.003325,0.002795,0.000249,0.000273
processed_data_batch_57.npz,1.418360,1.418359,0.064287,0.064288,137.858981,137.859170,0.316416,0.316455,0.023244,0.023244,0.000091,0.000091,0.003296,0.002776,0.000064,0.000077
processed_data_batch_58.npz,1.431432,1.431431,0.057457,0.057457,138.422386,138.422528,0.346945,0.346916,0.023279,0.023279,0.000116,0.000116,0.003297,0.002786,0.000065,0.000080
