filename,Raw_successful_fits,Raw_I0_mean,Raw_Tau_mean,Raw_B_mean,Raw_Residuals_Std_mean,Raw_I0_std,Raw_Tau_std,Raw_B_std,Raw_Residuals_Std_std,Raw_I0_min,Raw_Tau_min,Raw_B_min,Raw_Residuals_Std_min,Raw_I0_max,Raw_Tau_max,Raw_B_max,Raw_Residuals_Std_max,Savitzky-Golay_successful_fits,Savitzky-Golay_I0_mean,Savitzky-Golay_Tau_mean,Savitzky-Golay_B_mean,Savitzky-Golay_Residuals_Std_mean,Savitzky-Golay_I0_std,Savitzky-Golay_Tau_std,Savitzky-Golay_B_std,Savitzky-Golay_Residuals_Std_std,Savitzky-Golay_I0_min,Savitzky-Golay_Tau_min,Savitzky-Golay_B_min,Savitzky-Golay_Residuals_Std_min,Savitzky-Golay_I0_max,Savitzky-Golay_Tau_max,Savitzky-Golay_B_max,Savitzky-Golay_Residuals_Std_max,TauPredictor_successful_fits,TauPredictor_I0_mean,TauPredictor_Tau_mean,TauPredictor_B_mean,TauPredictor_Residuals_Std_mean,TauPredictor_I0_std,TauPredictor_Tau_std,TauPredictor_B_std,TauPredictor_Residuals_Std_std,TauPredictor_I0_min,TauPredictor_Tau_min,TauPredictor_B_min,TauPredictor_Residuals_Std_min,TauPredictor_I0_max,TauPredictor_Tau_max,TauPredictor_B_max,TauPredictor_Residuals_Std_max
processed_data_batch_21.npz,150,1.3757636667859023,122.61554260084912,0.022041959247379617,0.0033926548595778925,0.037744134783521635,0.8458182683844182,0.0001552916804865855,6.010995745758005e-05,1.1970296953335524,120.27315913873922,0.021726064177636357,0.0032548002184733887,1.4245506726357682,123.94084478740274,0.022418985019915016,0.0035402360176072984,150,1.3757678790294836,122.61513042715897,0.02204218100129702,0.0007687417507742867,0.03774850177019043,0.8459635755316905,0.00015566524819119945,6.466830789584246e-05,1.1970029361797931,120.27034077483634,0.021724752078019244,0.0006365693303816954,1.4245324854015948,123.94413585416433,0.022419957577276217,0.000988493590222774,150,0.0,143.70995,0.0,0.0,0.0,1.487174,0.0,0.0,0,139.22972,0,0,0,146.7417,0,0
processed_data_batch_22.npz,150,1.4307294628842457,135.8664208655227,0.022247158091697816,0.003463588289632874,0.053657490303693815,0.40831064182351745,0.00016088891512455153,6.605610849791879e-05,0.961485451050282,134.75646123743954,0.02180969097557381,0.003264480687550043,1.4831187520078128,136.5890711970134,0.022628718482939115,0.0036113836802061515,150,1.430733301663769,135.86603578609234,0.02224728298078439,0.0007849630655763121,0.053658566228523843,0.4081777290177176,0.00016064300713662275,7.250283884105759e-05,0.9614553401680913,134.75930897082097,0.021812467648257016,0.0006370903589784931,1.4830834287760601,136.58804069637944,0.02262525821910115,0.000976775817528529,150,0.0,166.43156,0.0,0.0,0.0,2.1876287,0.0,0.0,0,149.03938,0,0,0,169.27837,0,0
processed_data_batch_23.npz,150,1.4377960646286496,138.97517187347097,0.02240633232483663,0.003470478001863787,0.0571596809357075,0.3353840749197391,0.00014298192404212155,6.856725193293566e-05,1.1015789775995046,138.06102564570924,0.022042152721557934,0.003299148024128678,1.4948725066538815,139.80501844097063,0.022745984809852668,0.0036818490960800784,150,1.437798308388393,138.97491665822545,0.022406450127700685,0.0008029619292461359,0.05716033227614589,0.33487705524596045,0.0001424787256103975,7.497922264895025e-05,1.1015758110188434,138.05766207668245,0.022037908489226782,0.0006149570070106031,1.4948712144710794,139.80881153246412,0.02274918272910545,0.0010959041820491728,150,0.0,171.80301,0.0,0.0,0.0,2.4612303,0.0,0.0,0,157.22208,0,0,0,174.96805,0,0
processed_data_batch_24.npz,150,1.4331288023244133,139.26921091752737,0.02255516722836704,0.00346791726933125,0.05650068388270701,0.347597570621,0.0001686703148642803,6.690444908061427e-05,1.188046551481688,138.22103876354947,0.022186691795991642,0.0032918021045532757,1.4947452968582178,140.04930616143085,0.022963895141091484,0.0036424183332240106,150,1.4331349902476513,139.2685439577751,0.02255545927336263,0.0007947483813148347,0.056500942390949,0.34793941272588846,0.0001688373015787293,7.132662986860787e-05,1.1880764882888832,138.2173808308987,0.02218621328917125,0.0006500014507172243,1.4947769419167007,140.05309654678578,0.022966049310459757,0.0009996537776781522,150,0.0,172.14621,0.0,0.0,0.0,2.3800867,0.0,0.0,0,161.5027,0,0,0,175.35849,0,0
processed_data_batch_25.npz,150,1.4451483496879973,139.36827517490923,0.022644744360318315,0.003637734469351648,0.053637378642384125,1.555874377621012,0.0006577002811949552,0.0010416956931499832,1.0359981560967926,130.18339562815012,0.016412939111185902,0.0033462862353872565,1.5010731322488835,155.30684306395156,0.024902796858815288,0.01290922944498252,150,1.4451440085011362,139.36868911437813,0.022644583279276473,0.001018417024698714,0.05363379887565297,1.5551785213929223,0.0006573013489517535,0.001309116161909591,1.0360546063579998,130.18471689311656,0.01641943379083931,0.0006483583595023161,1.5010563441190365,155.29741014145085,0.024906083265579734,0.012035469002013369,150,0.0,172.84279,0.0,0.0,0.0,2.9225698,0.0,0.0,0,155.478,0,0,0,191.19989,0,0
processed_data_batch_26.npz,150,1.451041058879535,139.4772279511554,0.02278974844965861,0.0035062691317451996,0.04684448269488159,0.40862029583648146,0.00019574430940635533,0.00013386234844498023,1.077743127344529,138.19080007377542,0.022169009374728023,0.0033652706246552755,1.5052503116397042,141.53987128081596,0.02420054922740997,0.004929944155946815,150,1.4510451997889122,139.47682206187838,0.02278989330067835,0.0008340635772957557,0.04684951881168982,0.4092188307756953,0.00019593847490071675,0.00020895779527927056,1.0777486464003834,138.1900349611281,0.022167217411873733,0.0006351563518609222,1.5052020500598347,141.54773152768735,0.024201065071991778,0.00309063049124079,150,0.0,173.3513,0.0,0.0,0.0,2.113285,0.0,0.0,0,156.33957,0,0,0,175.86739,0,0
processed_data_batch_27.npz,150,1.4528018930665234,139.3606202251233,0.02287233963956218,0.0034949531672005,0.039436131857211516,0.32327149951810796,0.00015682305699027375,5.9542343007964365e-05,1.2608910575010177,138.5942351533625,0.022480988865644386,0.0033424242099165022,1.507537685453224,140.14589881601265,0.023284436238481775,0.0036525100879080635,150,1.4528004375015733,139.36074867898336,0.022872303198286942,0.0008037554138369746,0.0394327993556395,0.3234563257354387,0.00015690625737528664,7.267577080579893e-05,1.2609392058413191,138.59105729963173,0.022480601836372186,0.0006181092568737869,1.5075187243389117,140.14233594935993,0.023288125504897422,0.001119195604188335,150,0.0,173.22917,0.0,0.0,0.0,1.7535834,0.0,0.0,0,165.09439,0,0,0,176.37335,0,0
processed_data_batch_28.npz,150,1.455217762120542,139.52374377621445,0.022919800126892906,0.003485055405515108,0.028661970755212453,0.3386962774809674,0.00015421293739011717,6.36865827050915e-05,1.3580640803981798,138.6473815516865,0.022500564798817672,0.0033318183695608566,1.5085573277942204,140.38966944415586,0.02324698620201098,0.0036388471155189487,150,1.4552210707740998,139.52341609383853,0.02291986336353279,0.0008014648732629179,0.0286607793086374,0.3388937154521112,0.00015453066766614527,6.217069450857891e-05,1.3581041246706136,138.64673963481243,0.022498321033409676,0.0006463825745763453,1.508609637469903,140.38847015743963,0.023246285223806906,0.0009779569160481118,150,0.0,173.60788,0.0,0.0,0.0,1.3680483,0.0,0.0,0,168.85817,0,0,0,176.18991,0,0
processed_data_batch_29.npz,150,1.4303639701152684,139.53376750488198,0.022971022444988935,0.0034742877999486316,0.06836934655619453,0.30005429653833865,0.00015485026118584405,6.476003969012305e-05,1.0301305137603163,138.75859805961855,0.02265787475529433,0.0032935106625685147,1.4932298944219509,140.33070228595088,0.023416416060132193,0.003635816332387164,150,1.4303656384935088,139.53358687848677,0.022971108176871927,0.0007860559418609341,0.06836953800257899,0.3000453146824624,0.00015484212218915252,6.917321640337693e-05,1.0301538245605557,138.75907380232672,0.02266126858140494,0.0006485270185890832,1.4932219647964933,140.3364378011615,0.02341333657919884,0.001003538072263809,150,0.0,172.6189,0.0,0.0,0.0,2.9517272,0.0,0.0,0,156.13121,0,0,0,175.79382,0,0
processed_data_batch_30.npz,150,1.4450859757912065,139.5316948762361,0.023075400531845886,0.00358481266721349,0.05207435598645796,1.0182057224475871,0.00042041848719246724,0.0006865950459792211,1.1546542703756577,138.50383012283055,0.021129084233485793,0.0033127536670528447,1.5061947295643672,151.00087024443366,0.0268576453253131,0.010559585390963409,150,1.4450845556848106,139.53194868849306,0.02307521357457728,0.0009401287537687869,0.05208580498708533,1.018320403704247,0.0004206332153433108,0.0009260806857921165,1.1544171803720535,138.50163709279738,0.021125739363522907,0.0006168054544725121,1.5061923426658534,151.00536159382688,0.026859760212050353,0.009839435896090704,150,0.0,173.20645,0.0,0.0,0.0,2.1057103,0.0,0.0,0,161.5207,0,0,0,178.8458,0,0
