filename,signals_in_file,signals_fitted,signals_passed_qc,signals_skipped_qc,signals_failed_to_fit,B_mean_after_qc,B_mean_before_qc,B_std_after_qc,B_std_before_qc,I0_mean_after_qc,I0_mean_before_qc,I0_std_after_qc,I0_std_before_qc,residuals_std_mean_after_qc,residuals_std_mean_before_qc,residuals_std_std_after_qc,residuals_std_std_before_qc,tau_mean_after_qc,tau_mean_before_qc,tau_std_after_qc,tau_std_before_qc
processed_data_batch_18.npz,150,150,31,119,0,0.019963,0.020000,0.000283,0.000274,1.028653,1.027966,0.029460,0.024578,0.003163,0.003061,0.000589,0.000275,72.063594,72.064622,0.332708,0.278839
processed_data_batch_19.npz,150,150,29,121,0,0.020811,0.020775,0.000207,0.000210,1.057641,1.061660,0.047941,0.034980,0.003060,0.003062,0.000053,0.000184,75.814930,75.720855,0.455289,0.485464
processed_data_batch_20.npz,150,150,54,96,0,0.021161,0.021178,0.000134,0.000124,1.238441,1.231012,0.022180,0.030113,0.003133,0.003133,0.000051,0.000058,96.624692,96.649346,1.039377,1.043742
processed_data_batch_21.npz,150,150,65,85,0,0.021638,0.021632,0.000099,0.000096,1.378314,1.375257,0.031907,0.037591,0.003236,0.003235,0.000054,0.000057,122.812247,122.796188,0.862925,0.847871
processed_data_batch_22.npz,150,150,81,69,0,0.021834,0.021828,0.000091,0.000089,1.423241,1.430124,0.065755,0.053585,0.003282,0.003286,0.000061,0.000061,136.079844,136.076907,0.376173,0.358195
processed_data_batch_23.npz,150,150,80,70,0,0.021991,0.021996,0.000089,0.000087,1.439535,1.437250,0.051770,0.057151,0.003298,0.003292,0.000058,0.000061,139.151791,139.178915,0.256200,0.257296
processed_data_batch_24.npz,150,150,83,67,0,0.022156,0.022153,0.000083,0.000089,1.436430,1.432599,0.053765,0.056458,0.003295,0.003290,0.000068,0.000061,139.456525,139.468369,0.258772,0.263732
processed_data_batch_25.npz,150,150,77,73,0,0.022284,0.022273,0.000096,0.000120,1.450624,1.444763,0.036750,0.053767,0.003332,0.003445,0.000187,0.000941,139.557714,139.525224,0.407311,1.271475
processed_data_batch_26.npz,150,150,87,63,0,0.022369,0.022369,0.000082,0.000083,1.456514,1.450388,0.032909,0.046993,0.003310,0.003318,0.000066,0.000110,139.683632,139.699756,0.378012,0.404419
processed_data_batch_27.npz,150,150,74,76,0,0.022438,0.022447,0.000089,0.000091,1.454221,1.452166,0.036736,0.039432,0.003316,0.003311,0.000056,0.000057,139.596147,139.580027,0.256838,0.256216
processed_data_batch_28.npz,150,150,85,65,0,0.022534,0.022526,0.000079,0.000074,1.457821,1.454729,0.024627,0.028697,0.003306,0.003303,0.000053,0.000057,139.704168,139.711811,0.260022,0.258240
processed_data_batch_29.npz,150,150,81,69,0,0.022573,0.022573,0.000085,0.000081,1.435860,1.429867,0.052853,0.068268,0.003301,0.003295,0.000060,0.000060,139.705308,139.726035,0.238602,0.242222
processed_data_batch_30.npz,150,150,81,69,0,0.022642,0.022639,0.000084,0.000106,1.441310,1.444356,0.055505,0.052026,0.003314,0.003394,0.000177,0.000597,139.636510,139.769853,0.327336,1.140032
processed_data_batch_31.npz,150,150,84,66,0,0.022670,0.022675,0.000079,0.000097,1.450717,1.449168,0.036353,0.035501,0.003310,0.003356,0.000061,0.000581,139.634820,139.565829,0.290231,0.755033
