filename,signals_in_file,signals_fitted,signals_passed_qc,signals_skipped_qc,signals_failed_to_fit,B_mean_after_qc,B_mean_before_qc,B_std_after_qc,B_std_before_qc,I0_mean_after_qc,I0_mean_before_qc,I0_std_after_qc,I0_std_before_qc,residuals_std_mean_after_qc,residuals_std_mean_before_qc,residuals_std_std_after_qc,residuals_std_std_before_qc,tau_mean_after_qc,tau_mean_before_qc,tau_std_after_qc,tau_std_before_qc
processed_data_batch_74.npz,150,150,79,71,0,0.023331,0.023324,0.000073,0.000085,1.429041,1.426147,0.051620,0.057251,0.003318,0.003312,0.000062,0.000068,139.559263,139.552860,0.297855,0.340917
processed_data_batch_75.npz,150,150,73,77,0,0.023391,0.023381,0.000139,0.000175,1.410777,1.413086,0.078131,0.073405,0.003318,0.003371,0.000082,0.000377,139.527282,139.515854,0.340605,0.531698
processed_data_batch_76.npz,150,150,77,73,0,0.023476,0.023475,0.000102,0.000109,1.433578,1.427530,0.045266,0.049120,0.003317,0.003313,0.000060,0.000059,139.510386,139.527982,0.310337,0.303618
processed_data_batch_77.npz,150,150,82,68,0,0.023459,0.023430,0.000098,0.000227,1.430155,1.426778,0.054895,0.054699,0.003304,0.003369,0.000063,0.000474,139.609320,139.490150,0.316505,0.941626
processed_data_batch_78.npz,150,150,77,73,0,0.023462,0.023473,0.000085,0.000089,1.427332,1.430823,0.050025,0.047312,0.003307,0.003311,0.000064,0.000058,139.594196,139.569124,0.278933,0.317254
processed_data_batch_79.npz,150,150,75,75,0,0.023473,0.023457,0.000110,0.000164,1.431092,1.425141,0.048659,0.053137,0.003310,0.003359,0.000055,0.000425,139.567011,139.616686,0.315257,0.605950
processed_data_batch_80.npz,150,150,86,64,0,0.023468,0.023455,0.000085,0.000092,1.432217,1.431029,0.043604,0.044706,0.003319,0.003327,0.000059,0.000194,139.547670,139.609545,0.341773,0.510250
processed_data_batch_81.npz,150,150,85,65,0,0.023469,0.023487,0.000094,0.000156,1.426419,1.430050,0.064894,0.057956,0.003320,0.003343,0.000062,0.000228,139.632200,139.623590,0.320908,0.337997
processed_data_batch_82.npz,150,150,78,72,0,0.023450,0.023427,0.000095,0.000211,1.420627,1.422609,0.052941,0.050485,0.003327,0.003344,0.000160,0.000287,139.618483,139.637634,0.279442,0.313552
processed_data_batch_83.npz,150,150,78,72,0,0.023454,0.023446,0.000110,0.000225,1.438512,1.434619,0.037716,0.046238,0.003320,0.003386,0.000062,0.000835,139.634425,139.698921,0.301054,1.404617
processed_data_batch_84.npz,150,150,84,66,0,0.023451,0.023466,0.000108,0.000135,1.437931,1.427723,0.034265,0.064108,0.003318,0.003367,0.000053,0.000429,139.540375,139.481054,0.301012,0.788318
processed_data_batch_85.npz,150,150,78,72,0,0.023654,0.023644,0.000139,0.000310,1.418134,1.419931,0.060584,0.059360,0.003315,0.003366,0.000068,0.000657,139.544621,139.626641,0.282386,1.145652
processed_data_batch_86.npz,150,150,90,60,0,0.023944,0.023941,0.000110,0.000109,1.429333,1.431655,0.046589,0.048734,0.003324,0.003320,0.000059,0.000061,139.489044,139.486807,0.319304,0.314344
processed_data_batch_87.npz,150,150,86,64,0,0.023947,0.023925,0.000091,0.000239,1.436382,1.429954,0.050570,0.051550,0.003324,0.003383,0.000059,0.000520,139.489007,139.537209,0.263962,0.629677
processed_data_batch_88.npz,150,150,70,80,0,0.023980,0.023948,0.000098,0.000257,1.425254,1.427236,0.054631,0.054745,0.003317,0.003363,0.000061,0.000563,139.570738,139.662747,0.282411,0.898728
processed_data_batch_89.npz,150,150,79,71,0,0.023973,0.023948,0.000082,0.000155,1.438258,1.430644,0.045941,0.054395,0.003311,0.003363,0.000057,0.000528,139.596227,139.681503,0.310618,0.842037
processed_data_batch_90.npz,150,150,76,74,0,0.023996,0.023933,0.000093,0.000361,1.439885,1.436962,0.049174,0.059765,0.003310,0.003446,0.000059,0.001070,139.611547,139.785133,0.339467,1.694651
processed_data_batch_91.npz,150,150,83,67,0,0.023994,0.024003,0.000163,0.000152,1.423555,1.424899,0.067897,0.062352,0.003331,0.003332,0.000085,0.000173,139.641246,139.604002,0.306425,0.343172
processed_data_batch_92.npz,150,150,84,66,0,0.023959,0.023962,0.000113,0.000105,1.434924,1.436195,0.042622,0.047914,0.003335,0.003335,0.000068,0.000098,139.617346,139.631296,0.322294,0.313476
processed_data_batch_93.npz,150,150,79,71,0,0.023939,0.023940,0.000129,0.000130,1.432732,1.434299,0.049930,0.047819,0.003328,0.003335,0.000069,0.000137,139.642231,139.630085,0.314701,0.342280
processed_data_batch_94.npz,150,150,80,70,0,0.023876,0.023868,0.000117,0.000230,1.434693,1.435739,0.041356,0.042642,0.003322,0.003446,0.000067,0.000874,139.657551,139.632387,0.345834,0.761332
processed_data_batch_95.npz,150,150,82,68,0,0.023785,0.023769,0.000098,0.000176,1.434178,1.433138,0.053211,0.060090,0.003328,0.003365,0.000054,0.000437,139.617065,139.610864,0.263936,0.438271
processed_data_batch_96.npz,150,150,82,68,0,0.023827,0.023839,0.000147,0.000160,1.440218,1.431632,0.050753,0.067347,0.003323,0.003348,0.000062,0.000223,139.586579,139.633051,0.340642,0.587401
processed_data_batch_97.npz,150,150,91,59,0,0.024035,0.024037,0.000163,0.000143,1.428881,1.425042,0.061766,0.062371,0.003337,0.003329,0.000092,0.000084,139.592730,139.616124,0.317644,0.308901
processed_data_batch_98.npz,150,150,83,67,0,0.023956,0.023958,0.000095,0.000100,1.443193,1.439088,0.037175,0.046693,0.003327,0.003319,0.000064,0.000059,139.698148,139.697560,0.327440,0.323428
processed_data_batch_99.npz,150,150,78,72,0,0.023839,0.023851,0.000114,0.000193,1.432223,1.435007,0.055758,0.050368,0.003328,0.003364,0.000061,0.000493,139.647492,139.546023,0.299542,0.986362
processed_data_batch_100.npz,150,150,76,74,0,0.023730,0.023738,0.000098,0.000210,1.432447,1.429239,0.059709,0.060719,0.003334,0.003360,0.000056,0.000293,139.596329,139.574749,0.294169,0.397907
processed_data_batch_101.npz,150,150,82,68,0,0.023779,0.023794,0.000096,0.000093,1.447192,1.438254,0.032742,0.045912,0.003336,0.003329,0.000063,0.000064,139.620595,139.642832,0.285563,0.286182
