filename,condition,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
resampled_data_batch_97.npz,3,142.617056,0.194068,142.411346,0.264867,142.608684,0.188368,142.408368,0.241442
resampled_data_batch_98.npz,3,142.759072,0.658203,142.595521,0.333002,142.787749,0.204806,142.565494,0.258076
resampled_data_batch_99.npz,3,142.831929,0.328813,142.627006,0.267092,142.814715,0.161019,142.650019,0.299367
resampled_data_batch_100.npz,3,142.677681,1.110707,142.469953,1.103723,142.780656,0.220728,142.563174,0.312331
resampled_data_batch_101.npz,3,142.782199,0.768586,142.580219,0.651882,142.806172,0.175824,142.607746,0.248950
resampled_data_batch_1.npz,4,142.590031,0.206315,142.398123,0.274202,142.584103,0.202218,142.397022,0.262732
resampled_data_batch_2.npz,4,142.739316,0.142773,142.555275,0.206323,142.728841,0.152286,142.542794,0.229101
resampled_data_batch_3.npz,4,142.696001,0.151588,142.494805,0.233754,142.711654,0.154181,142.535868,0.234832
resampled_data_batch_4.npz,4,142.600084,0.205187,142.371303,0.269571,142.638898,0.194283,142.417846,0.266463
resampled_data_batch_5.npz,4,142.642151,0.155949,142.419508,0.206384,142.640295,0.133670,142.418021,0.186917
resampled_data_batch_6.npz,4,142.550869,0.181436,142.350399,0.260061,142.527265,0.180088,142.317881,0.246441
resampled_data_batch_7.npz,4,142.690279,0.140677,142.495335,0.212320,142.684328,0.133736,142.484283,0.197981
resampled_data_batch_8.npz,4,142.522144,0.211898,142.339066,0.288832,142.527373,0.221109,142.335394,0.290749
resampled_data_batch_9.npz,4,142.569659,0.840378,142.449510,1.526088,142.445077,0.208906,142.254334,0.269261
resampled_data_batch_10.npz,4,142.526008,1.307095,142.147811,1.975655,142.570197,0.301662,142.362558,0.245015
resampled_data_batch_11.npz,4,142.648299,0.168483,142.440162,0.220725,142.662186,0.169958,142.446606,0.237073
resampled_data_batch_12.npz,4,142.707098,0.154810,142.541440,0.214695,142.703997,0.160298,142.535105,0.229939
resampled_data_batch_13.npz,4,142.590220,0.182462,142.391296,0.252694,142.587699,0.200879,142.412789,0.261493
resampled_data_batch_14.npz,4,142.590136,0.238717,142.382461,0.293466,142.588763,0.223942,142.387225,0.281029
resampled_data_batch_15.npz,4,142.651323,0.173818,142.483811,0.250979,142.669507,0.181626,142.498661,0.267690
resampled_data_batch_16.npz,4,142.487964,0.176027,142.283174,0.258962,142.494697,0.182926,142.277643,0.257627
resampled_data_batch_17.npz,4,142.573962,0.196975,142.375634,0.269233,142.597004,0.187108,142.385512,0.242759
resampled_data_batch_18.npz,4,142.625572,0.202122,142.434302,0.284911,142.627114,0.211474,142.448619,0.301434
resampled_data_batch_19.npz,4,142.617759,0.189247,142.427863,0.258477,142.623313,0.177830,142.456998,0.238424
resampled_data_batch_20.npz,4,142.662698,0.183788,142.451065,0.240032,142.647426,0.174836,142.412477,0.226900
resampled_data_batch_21.npz,4,142.726164,0.175160,142.525106,0.248024,142.710557,0.160121,142.503835,0.248477
resampled_data_batch_22.npz,4,142.577266,1.277402,142.408824,1.099684,142.687001,0.247993,142.508286,0.291014
resampled_data_batch_23.npz,4,142.512275,0.959870,142.374989,1.073967,142.587357,0.218935,142.377333,0.282950
resampled_data_batch_24.npz,4,142.535453,0.254752,142.349888,0.300959,142.534699,0.281228,142.349818,0.304628
resampled_data_batch_25.npz,4,142.597512,0.186584,142.406916,0.251840,142.618114,0.188751,142.420551,0.246085
resampled_data_batch_26.npz,4,142.647105,0.187111,142.459356,0.263465,142.651269,0.170583,142.473103,0.252353
resampled_data_batch_27.npz,4,142.628540,0.213378,142.437603,0.286805,142.639319,0.214189,142.448428,0.301869
resampled_data_batch_28.npz,4,142.604718,0.159103,142.398287,0.209580,142.583916,0.141017,142.380657,0.183544
resampled_data_batch_29.npz,4,142.617873,0.519637,142.396322,0.355197,142.638849,0.312256,142.401983,0.253090
resampled_data_batch_30.npz,4,142.595114,0.368039,142.390527,0.456998,142.586240,0.227807,142.373037,0.299442
resampled_data_batch_31.npz,4,142.602643,0.181203,142.414692,0.252919,142.614038,0.196752,142.423863,0.265456
resampled_data_batch_32.npz,4,142.627938,0.199778,142.430918,0.290632,142.600136,0.212594,142.388495,0.293628
resampled_data_batch_33.npz,4,142.720027,0.430780,142.500864,0.290965,142.746896,0.421694,142.510027,0.258207
resampled_data_batch_34.npz,4,142.613513,0.569851,142.391951,0.398736,142.597684,0.275574,142.407439,0.327804
resampled_data_batch_35.npz,4,142.587020,0.185315,142.394989,0.257828,142.564717,0.193565,142.366042,0.275725
resampled_data_batch_36.npz,4,142.527074,0.201470,142.329949,0.268620,142.505337,0.171840,142.319973,0.234517
resampled_data_batch_37.npz,4,142.726015,1.254035,142.592963,1.544015,142.704234,0.718990,142.409651,0.272324
resampled_data_batch_38.npz,4,142.645590,0.787111,142.410136,0.476440,142.598543,0.263681,142.372011,0.289024
resampled_data_batch_39.npz,4,142.610854,0.196725,142.397151,0.277043,142.634995,0.173396,142.441197,0.239784
resampled_data_batch_40.npz,4,142.582718,0.923230,142.384346,0.757797,142.627998,0.331968,142.428314,0.278449
resampled_data_batch_41.npz,4,142.596956,0.585727,142.416315,0.382027,142.540844,0.720575,142.449200,0.285003
resampled_data_batch_42.npz,4,142.643350,0.179252,142.444954,0.254161,142.659530,0.170765,142.467009,0.239376
resampled_data_batch_43.npz,4,142.694398,0.363541,142.514660,0.623107,142.701867,0.289548,142.508514,0.267922
resampled_data_batch_44.npz,4,142.581684,1.270612,142.382444,1.194013,142.711274,0.267206,142.478232,0.267723
resampled_data_batch_45.npz,4,142.625375,0.208236,142.429385,0.276524,142.638098,0.210204,142.445131,0.281035
resampled_data_batch_46.npz,4,142.524833,0.811746,142.311016,0.908021,142.569173,0.424962,142.392343,0.275698
resampled_data_batch_47.npz,4,142.357961,0.358481,142.185482,0.336457,142.309329,0.270065,142.152983,0.264846
resampled_data_batch_48.npz,4,140.556659,0.283381,140.349275,0.331587,140.517891,0.286544,140.286239,0.337958
resampled_data_batch_49.npz,4,135.068377,1.220847,134.909763,0.886573,135.091671,0.501511,134.902745,0.539121
resampled_data_batch_54.npz,4,142.296486,1.808263,142.055289,2.151800,142.476002,0.374669,142.224675,0.312290
resampled_data_batch_55.npz,4,142.640024,0.226060,142.454432,0.283785,142.630710,0.211677,142.442363,0.254114
resampled_data_batch_56.npz,4,142.696554,0.542862,142.535175,0.724455,142.666236,0.203531,142.471222,0.245593
resampled_data_batch_57.npz,4,142.724275,0.754442,142.589268,1.592708,142.653359,0.199261,142.443939,0.255329
resampled_data_batch_58.npz,4,142.730089,0.177915,142.527752,0.235189,142.719291,0.173612,142.515207,0.257557
resampled_data_batch_59.npz,4,142.691370,0.584999,142.442315,0.358977,142.663400,0.194402,142.462762,0.258583
resampled_data_batch_60.npz,4,142.720995,0.172312,142.516942,0.245348,142.722843,0.149017,142.516557,0.232417
resampled_data_batch_61.npz,4,142.733233,0.520749,142.521368,0.633792,142.683725,0.202459,142.474293,0.265286
resampled_data_batch_62.npz,4,142.753799,0.199475,142.548870,0.286051,142.742515,0.220664,142.543617,0.331607
resampled_data_batch_63.npz,4,142.659486,0.709743,142.469498,0.371492,142.721113,0.290789,142.477606,0.250405
resampled_data_batch_64.npz,4,142.750643,0.209703,142.550427,0.267188,142.741856,0.241021,142.556009,0.283755
resampled_data_batch_65.npz,4,142.791070,0.877940,142.549321,0.985059,142.698188,0.334219,142.448920,0.298192
resampled_data_batch_66.npz,4,142.711271,0.169369,142.521388,0.253251,142.714316,0.175841,142.522684,0.258597
resampled_data_batch_67.npz,4,142.744349,0.476865,142.552948,0.688994,142.727959,0.216270,142.523144,0.288327
resampled_data_batch_68.npz,4,142.730824,0.426896,142.523476,0.600308,142.749554,0.178927,142.543429,0.244287
resampled_data_batch_69.npz,4,142.716807,0.957806,142.489976,0.678262,142.730715,0.157926,142.544059,0.215142
resampled_data_batch_70.npz,4,142.705468,0.208147,142.464660,0.283800,142.691222,0.199006,142.453077,0.285575
resampled_data_batch_71.npz,4,142.757511,0.428376,142.546573,0.370450,142.742218,0.299828,142.552248,0.284409
resampled_data_batch_72.npz,4,142.760548,0.199396,142.568010,0.252478,142.753037,0.180460,142.576506,0.250711
resampled_data_batch_73.npz,4,142.671501,0.636255,142.462278,0.945139,142.750984,0.192545,142.541933,0.245253
resampled_data_batch_74.npz,4,142.724888,0.219868,142.537296,0.264244,142.701169,0.215399,142.509464,0.290066
resampled_data_batch_75.npz,4,142.698769,1.043286,142.519707,0.662126,142.776277,0.236410,142.527677,0.243455
resampled_data_batch_76.npz,4,142.742348,0.217608,142.537258,0.274594,142.750791,0.203336,142.548252,0.269495
resampled_data_batch_77.npz,4,142.764187,0.807299,142.562018,0.573850,142.740122,0.182603,142.545436,0.267275
resampled_data_batch_78.npz,4,142.743567,0.216754,142.557822,0.289115,142.731690,0.229518,142.533754,0.307277
resampled_data_batch_79.npz,4,142.845918,1.285327,142.700697,1.488105,142.765844,0.233334,142.579817,0.220115
resampled_data_batch_80.npz,4,142.755962,0.188901,142.544129,0.278478,142.784470,0.186278,142.574689,0.288577
resampled_data_batch_81.npz,4,142.761471,0.605213,142.540681,0.392830,142.749476,0.164022,142.541706,0.234701
resampled_data_batch_82.npz,4,142.773712,0.197169,142.580566,0.259990,142.745766,0.186223,142.553562,0.231632
resampled_data_batch_83.npz,4,142.807182,1.018986,142.639439,1.334016,142.727200,0.217967,142.541853,0.272927
resampled_data_batch_84.npz,4,142.755883,0.179767,142.541218,0.256085,142.765685,0.149353,142.563027,0.204102
resampled_data_batch_85.npz,4,142.754154,0.325161,142.564701,0.312285,142.788084,0.215953,142.586227,0.236727
resampled_data_batch_86.npz,4,142.882375,0.961777,142.767989,1.848927,142.832938,0.180154,142.659952,0.233608
resampled_data_batch_87.npz,4,142.740626,0.225011,142.533983,0.284219,142.745702,0.220011,142.554870,0.285980
resampled_data_batch_88.npz,4,142.786512,0.801367,142.573493,0.604179,142.772855,0.322332,142.554368,0.251120
resampled_data_batch_89.npz,4,142.743051,1.160732,142.601679,0.869323,142.807350,0.201430,142.633493,0.283844
resampled_data_batch_90.npz,4,142.821143,0.530672,142.637925,0.943110,142.819943,0.313722,142.571723,0.255891
resampled_data_batch_91.npz,4,142.738328,0.205024,142.563691,0.279008,142.752315,0.202860,142.566429,0.278426
resampled_data_batch_92.npz,4,142.646072,1.036939,142.482905,1.520379,142.552253,0.205672,142.352949,0.286791
resampled_data_batch_93.npz,4,141.849409,0.217417,141.669474,0.284285,141.859544,0.222091,141.709542,0.293516
resampled_data_batch_94.npz,4,140.862792,0.435751,140.684242,0.580179,140.809858,0.185394,140.603561,0.249597
resampled_data_batch_95.npz,4,140.905189,0.448749,140.704887,0.308228,140.890451,0.184224,140.693044,0.252900
resampled_data_batch_96.npz,4,141.953863,0.208751,141.756060,0.275416,141.941325,0.205678,141.725289,0.280109
resampled_data_batch_97.npz,4,142.624549,0.194310,142.419436,0.265152,142.626563,0.195149,142.430844,0.248642
resampled_data_batch_98.npz,4,142.766803,0.658306,142.603661,0.333087,142.784485,0.210517,142.577753,0.255268
resampled_data_batch_99.npz,4,142.840099,0.328557,142.635639,0.267213,142.810037,0.149108,142.623645,0.204204
resampled_data_batch_100.npz,4,142.687030,1.110818,142.478421,1.102952,142.802200,0.205365,142.594782,0.283289
resampled_data_batch_101.npz,4,142.790559,0.768280,142.588646,0.651779,142.793659,0.180410,142.580609,0.247709
resampled_data_batch_1.npz,5,142.598624,0.208495,142.406980,0.275957,142.586642,0.195264,142.384820,0.227720
resampled_data_batch_2.npz,5,142.749814,0.144736,142.563036,0.205413,142.735695,0.158304,142.543117,0.214979
resampled_data_batch_3.npz,5,142.703511,0.149382,142.503904,0.232258,142.709781,0.135928,142.521219,0.202498
resampled_data_batch_4.npz,5,142.608518,0.206939,142.379921,0.269414,142.589539,0.203926,142.383377,0.254875
resampled_data_batch_5.npz,5,142.651224,0.154264,142.428489,0.206308,142.644865,0.145869,142.407170,0.195546
resampled_data_batch_6.npz,5,142.558379,0.181044,142.358459,0.259522,142.527014,0.176563,142.290680,0.235347
resampled_data_batch_7.npz,5,142.697247,0.140646,142.503664,0.212698,142.696434,0.149444,142.485503,0.230272
resampled_data_batch_8.npz,5,142.529827,0.211349,142.348131,0.288805,142.548479,0.220003,142.393933,0.286568
resampled_data_batch_9.npz,5,142.579502,0.840213,142.459248,1.527471,142.383328,0.348018,142.219308,0.272534
resampled_data_batch_10.npz,5,142.535366,1.307936,142.157195,1.975766,142.585846,0.289091,142.367940,0.234870
resampled_data_batch_11.npz,5,142.657358,0.169472,142.449517,0.221202,142.650701,0.161324,142.438073,0.204409
resampled_data_batch_12.npz,5,142.716550,0.155947,142.551058,0.215124,142.730801,0.171217,142.573347,0.233604
resampled_data_batch_13.npz,5,142.598780,0.180703,142.400584,0.252307,142.583886,0.197523,142.384596,0.266042
resampled_data_batch_14.npz,5,142.599766,0.237528,142.391755,0.292830,142.565073,0.214512,142.345368,0.279389
resampled_data_batch_15.npz,5,142.660565,0.176274,142.492734,0.251679,142.658685,0.190987,142.492744,0.282619
resampled_data_batch_16.npz,5,142.498286,0.177083,142.292263,0.258622,142.467065,0.172528,142.255259,0.228496
resampled_data_batch_17.npz,5,142.581053,0.199232,142.383993,0.269143,142.589065,0.205263,142.397372,0.279957
resampled_data_batch_18.npz,5,142.634461,0.204229,142.442639,0.284750,142.621861,0.214986,142.423868,0.302086
resampled_data_batch_19.npz,5,142.625259,0.189045,142.435708,0.257962,142.623791,0.159923,142.459158,0.235506
resampled_data_batch_20.npz,5,142.671046,0.184646,142.461004,0.241231,142.649687,0.189582,142.405193,0.250883
resampled_data_batch_21.npz,5,142.736763,0.176166,142.534289,0.247946,142.738449,0.162869,142.542043,0.246773
resampled_data_batch_22.npz,5,142.584833,1.277206,142.417110,1.099388,142.698160,0.224231,142.514785,0.279017
resampled_data_batch_23.npz,5,142.520171,0.960078,142.383635,1.073906,142.605299,0.209808,142.416154,0.291699
resampled_data_batch_24.npz,5,142.544111,0.255112,142.359211,0.301897,142.518363,0.261665,142.300983,0.309649
resampled_data_batch_25.npz,5,142.605853,0.188320,142.415617,0.252309,142.619716,0.192399,142.427237,0.246768
resampled_data_batch_26.npz,5,142.655076,0.187841,142.467206,0.264401,142.660033,0.183977,142.501249,0.272224
resampled_data_batch_27.npz,5,142.635430,0.213104,142.445525,0.286554,142.660813,0.219063,142.481200,0.292100
resampled_data_batch_28.npz,5,142.613379,0.158918,142.406564,0.209566,142.635980,0.155540,142.435316,0.193383
resampled_data_batch_29.npz,5,142.626945,0.519506,142.404602,0.354317,142.503287,0.464241,142.369851,0.207103
resampled_data_batch_30.npz,5,142.601692,0.366715,142.398903,0.456666,142.577494,0.228449,142.357104,0.311817
resampled_data_batch_31.npz,5,142.610607,0.182835,142.423298,0.255049,142.616245,0.171925,142.423923,0.227181
resampled_data_batch_32.npz,5,142.636785,0.199816,142.439867,0.291499,142.646024,0.220454,142.451494,0.303162
resampled_data_batch_33.npz,5,142.726363,0.432095,142.509437,0.291169,142.674082,0.194924,142.488902,0.242857
resampled_data_batch_34.npz,5,142.620846,0.570877,142.401225,0.398878,142.663409,0.472620,142.427442,0.326229
resampled_data_batch_35.npz,5,142.593927,0.186122,142.404645,0.258025,142.569755,0.203598,142.362715,0.280049
resampled_data_batch_36.npz,5,142.535336,0.202752,142.338721,0.268818,142.486297,0.165018,142.291957,0.243091
resampled_data_batch_37.npz,5,142.734955,1.253551,142.602469,1.542501,142.607706,0.999909,142.375343,0.241873
resampled_data_batch_38.npz,5,142.655375,0.787372,142.419100,0.475693,142.603819,0.203611,142.392604,0.288425
