filename,condition,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
resampled_data_batch_37.npz,3,139.635654,1.021352,139.402025,1.029800,139.659536,0.640342,139.424160,0.339279
resampled_data_batch_38.npz,3,139.429113,0.968911,139.270119,0.914625,139.551898,0.306161,139.403928,0.356007
resampled_data_batch_39.npz,3,139.500667,0.259011,139.291893,0.306445,139.495891,0.254308,139.296436,0.300467
resampled_data_batch_40.npz,3,139.471639,1.355832,139.182786,1.610921,139.411411,0.306018,139.214856,0.374950
resampled_data_batch_41.npz,3,139.388997,0.540875,139.164110,0.371407,139.308941,0.352294,139.096058,0.341034
resampled_data_batch_42.npz,3,139.261446,0.280075,139.059672,0.323046,139.242260,0.264161,139.043877,0.312908
resampled_data_batch_43.npz,3,139.233582,1.014450,139.079885,1.298646,139.170542,0.502829,138.975873,0.335195
resampled_data_batch_44.npz,3,138.897119,0.346493,138.695077,0.330935,138.877863,0.291778,138.656459,0.332279
resampled_data_batch_45.npz,3,138.664029,0.261014,138.475413,0.306056,138.647504,0.276958,138.448955,0.323873
resampled_data_batch_46.npz,3,138.007461,0.497543,137.781999,0.809506,138.038184,0.270616,137.870871,0.304926
resampled_data_batch_47.npz,3,136.025698,0.360116,135.818208,0.393199,135.972168,0.360986,135.752059,0.380675
resampled_data_batch_48.npz,3,121.858997,1.994130,121.693942,1.966298,122.124081,1.991765,121.939310,1.961627
resampled_data_batch_49.npz,3,69.024708,3.739547,68.878444,3.758894,69.195226,3.136170,69.216307,3.214519
resampled_data_batch_54.npz,3,66.214743,3.812872,66.055124,3.824777,68.172584,1.956053,67.947359,1.887629
resampled_data_batch_55.npz,3,120.811952,2.472188,120.598382,2.425506,120.722346,2.411203,120.556581,2.382496
resampled_data_batch_56.npz,3,136.040494,0.402566,135.858298,0.466467,136.022031,0.386677,135.817820,0.409694
resampled_data_batch_57.npz,3,138.076068,0.259047,137.879113,0.311527,138.074058,0.259139,137.875648,0.325448
resampled_data_batch_58.npz,3,138.645049,0.325819,138.444869,0.341386,138.655213,0.339221,138.455600,0.339938
resampled_data_batch_59.npz,3,139.008309,0.237586,138.805498,0.298535,139.009034,0.255685,138.791749,0.315252
resampled_data_batch_60.npz,3,139.269836,0.928188,138.994954,0.540112,139.164553,0.300741,138.962073,0.357592
resampled_data_batch_61.npz,3,139.365980,0.274445,139.193181,0.328866,139.379950,0.268009,139.214762,0.311454
resampled_data_batch_62.npz,3,139.450255,0.960013,139.234027,0.520139,139.457026,0.288893,139.246937,0.329280
resampled_data_batch_63.npz,3,139.468485,0.505575,139.281176,0.590016,139.518680,0.265611,139.352201,0.338681
resampled_data_batch_64.npz,3,139.607802,1.070219,139.422681,1.186940,139.479420,0.311427,139.321966,0.327204
resampled_data_batch_65.npz,3,139.579832,0.267326,139.376317,0.311759,139.569395,0.269577,139.361898,0.296147
resampled_data_batch_66.npz,3,139.635115,0.568073,139.456012,0.745728,139.649309,0.432931,139.416170,0.290695
resampled_data_batch_67.npz,3,139.599837,1.023798,139.410258,1.014078,139.714555,0.303954,139.526562,0.350046
resampled_data_batch_68.npz,3,139.684162,0.433611,139.555754,1.294405,139.656825,0.236548,139.460680,0.304016
resampled_data_batch_69.npz,3,139.690910,0.300255,139.519882,0.349512,139.704389,0.298272,139.532191,0.339194
resampled_data_batch_70.npz,3,139.746329,0.228486,139.554915,0.293000,139.756995,0.231686,139.579636,0.303555
resampled_data_batch_71.npz,3,139.725628,0.476207,139.542479,0.609956,139.682488,0.299174,139.492798,0.330695
resampled_data_batch_72.npz,3,139.751570,0.281643,139.559980,0.355480,139.760459,0.280343,139.578491,0.345941
resampled_data_batch_73.npz,3,139.657248,0.986023,139.386829,1.676195,139.743561,0.231136,139.536159,0.278669
resampled_data_batch_74.npz,3,139.767634,0.271641,139.573018,0.335497,139.753032,0.247856,139.556909,0.292342
resampled_data_batch_75.npz,3,139.700348,0.652152,139.534780,0.529807,139.705365,0.399213,139.542505,0.336839
resampled_data_batch_76.npz,3,139.744831,0.239333,139.549630,0.299141,139.745729,0.238487,139.566581,0.309500
resampled_data_batch_77.npz,3,139.674157,0.977736,139.509665,0.931850,139.819055,0.390727,139.629470,0.308541
resampled_data_batch_78.npz,3,139.783167,0.241048,139.588856,0.311095,139.798967,0.209238,139.618413,0.276485
resampled_data_batch_79.npz,3,139.823129,0.861445,139.636366,0.610465,139.785771,0.257297,139.581499,0.303641
resampled_data_batch_80.npz,3,139.849964,0.515620,139.630864,0.505780,139.815529,0.275614,139.571395,0.333924
resampled_data_batch_81.npz,3,139.872136,0.515211,139.645390,0.338775,139.854342,0.259583,139.656465,0.311197
resampled_data_batch_82.npz,3,139.818710,0.592805,139.657136,0.316278,139.754205,0.776275,139.644219,0.272055
resampled_data_batch_83.npz,3,139.899602,1.049106,139.717907,1.378249,139.840456,0.265742,139.670769,0.295677
resampled_data_batch_84.npz,3,139.724558,0.716296,139.504649,0.779716,139.761057,0.265484,139.550136,0.298963
resampled_data_batch_85.npz,3,139.796112,0.601247,139.643883,1.112344,139.781275,0.203242,139.575400,0.257339
resampled_data_batch_86.npz,3,139.702456,0.260161,139.507534,0.309524,139.701239,0.263115,139.501428,0.314632
resampled_data_batch_87.npz,3,139.703193,0.751983,139.557238,0.622102,139.703422,0.233140,139.513355,0.258316
resampled_data_batch_88.npz,3,139.822034,0.483794,139.680276,0.872734,139.783619,0.231778,139.589943,0.276332
resampled_data_batch_89.npz,3,139.889138,0.615823,139.702322,0.824099,139.823457,0.269428,139.624084,0.304166
resampled_data_batch_90.npz,3,139.898973,1.163608,139.801233,1.654825,139.835542,0.250374,139.640754,0.337663
resampled_data_batch_91.npz,3,139.779036,0.431627,139.623778,0.341320,139.793270,0.368175,139.649061,0.316112
resampled_data_batch_92.npz,3,139.841195,0.273358,139.651336,0.307443,139.834488,0.300223,139.649529,0.321662
resampled_data_batch_93.npz,3,139.855693,0.432316,139.651947,0.342284,139.851869,0.264139,139.664497,0.310000
resampled_data_batch_94.npz,3,139.819336,0.583804,139.652380,0.745505,139.855887,0.291681,139.692828,0.333393
resampled_data_batch_95.npz,3,139.832633,0.329948,139.632650,0.426892,139.852298,0.222817,139.638487,0.257826
resampled_data_batch_96.npz,3,139.895300,0.594717,139.655779,0.583170,139.828347,0.271139,139.605066,0.334625
resampled_data_batch_97.npz,3,139.811516,0.335164,139.636162,0.304189,139.769918,0.382836,139.620721,0.307112
resampled_data_batch_98.npz,3,139.903216,0.255736,139.719293,0.318005,139.904834,0.253785,139.727270,0.312164
resampled_data_batch_99.npz,3,139.793259,0.711683,139.567936,0.968864,139.850348,0.259752,139.659041,0.292703
resampled_data_batch_100.npz,3,139.802113,0.686305,139.597151,0.403400,139.780434,0.279679,139.602035,0.296569
resampled_data_batch_101.npz,3,139.844369,0.238111,139.662963,0.281224,139.830106,0.238098,139.658534,0.287972
resampled_data_batch_1.npz,4,139.371611,2.068177,139.199653,2.336705,139.589125,0.452925,139.380560,0.269677
resampled_data_batch_2.npz,4,139.991421,0.241714,139.752968,0.308046,139.996983,0.239380,139.776102,0.298670
resampled_data_batch_3.npz,4,139.682663,0.209179,139.415364,0.278063,139.710494,0.222850,139.457867,0.296288
resampled_data_batch_4.npz,4,139.764717,0.275695,139.469490,0.349344,139.755124,0.242901,139.465081,0.329440
resampled_data_batch_5.npz,4,140.062122,0.156026,139.820958,0.205899,140.058376,0.154359,139.818680,0.210486
resampled_data_batch_6.npz,4,139.901088,0.198761,139.654654,0.256662,139.894301,0.220566,139.648518,0.273509
resampled_data_batch_7.npz,4,139.894841,0.220500,139.640844,0.276231,139.898145,0.206109,139.661702,0.244664
resampled_data_batch_8.npz,4,139.771562,0.275661,139.526046,0.324949,139.758657,0.274372,139.520480,0.315155
resampled_data_batch_9.npz,4,140.090782,0.188071,139.865389,0.240045,140.091124,0.188175,139.869296,0.225170
resampled_data_batch_10.npz,4,139.858043,0.218215,139.622591,0.292325,139.840732,0.213902,139.597153,0.268981
resampled_data_batch_11.npz,4,139.807508,0.749306,139.510560,1.015909,139.920440,0.437402,139.605583,0.310270
resampled_data_batch_12.npz,4,139.417881,1.639777,139.308597,0.938680,139.606194,0.502456,139.422410,0.341038
resampled_data_batch_13.npz,4,139.147996,1.881776,138.815308,2.097096,139.475063,0.494226,139.136604,0.341142
resampled_data_batch_14.npz,4,138.475114,1.716881,138.290884,1.955949,138.430013,0.315975,138.162886,0.316220
resampled_data_batch_15.npz,4,131.920971,0.825803,131.666156,1.460488,132.004936,0.421259,131.779781,0.406797
resampled_data_batch_16.npz,4,112.827497,0.999810,112.606823,0.849566,112.833899,0.779783,112.640108,0.705650
resampled_data_batch_17.npz,4,86.744045,1.038000,86.453501,1.324652,86.794727,0.700438,86.596464,0.716712
resampled_data_batch_18.npz,4,72.083106,0.277919,71.890676,0.367695,72.164284,0.250971,72.013519,0.238453
resampled_data_batch_19.npz,4,75.739942,0.483191,75.584179,0.511102,75.746016,0.441190,75.607216,0.474304
resampled_data_batch_20.npz,4,96.674121,1.038964,96.481630,1.034201,96.681263,1.071289,96.484739,1.030542
resampled_data_batch_21.npz,4,122.828247,0.849031,122.646562,0.844102,122.776221,0.876127,122.616756,0.859913
resampled_data_batch_22.npz,4,136.118493,0.359885,135.905497,0.393814,136.113140,0.376802,135.901494,0.405706
resampled_data_batch_23.npz,4,139.217254,0.247631,139.011384,0.311255,139.193048,0.248776,138.988854,0.309700
resampled_data_batch_24.npz,4,139.512545,0.259508,139.306205,0.320803,139.497611,0.265586,139.275413,0.331886
resampled_data_batch_25.npz,4,139.566333,1.252073,139.397544,1.440273,139.593841,0.429540,139.326520,0.329635
resampled_data_batch_26.npz,4,139.741983,0.400329,139.518708,0.395193,139.740972,0.394726,139.502523,0.365208
resampled_data_batch_27.npz,4,139.625206,0.255390,139.405040,0.302725,139.624468,0.254488,139.402393,0.295584
resampled_data_batch_28.npz,4,139.759670,0.259537,139.560748,0.314618,139.734962,0.250710,139.541490,0.296849
resampled_data_batch_29.npz,4,139.768298,0.238132,139.570737,0.278959,139.767694,0.243016,139.565603,0.264406
resampled_data_batch_30.npz,4,139.813789,1.121255,139.578885,1.002250,139.666066,0.374514,139.485566,0.339960
