filename,signals_in_file,signals_fitted,signals_passed_qc,signals_skipped_qc,signals_failed_to_fit,B_mean_after_qc,B_mean_before_qc,B_std_after_qc,B_std_before_qc,I0_mean_after_qc,I0_mean_before_qc,I0_std_after_qc,I0_std_before_qc,residuals_std_mean_after_qc,residuals_std_mean_before_qc,residuals_std_std_after_qc,residuals_std_std_before_qc,tau_mean_after_qc,tau_mean_before_qc,tau_std_after_qc,tau_std_before_qc
processed_data_batch_58.npz,150,150,84,66,0,0.022903,0.022907,0.000074,0.000075,1.434913,1.430888,0.043063,0.057470,0.003292,0.003283,0.000086,0.000080,138.622559,138.614659,0.340264,0.327655
processed_data_batch_59.npz,150,150,82,68,0,0.022832,0.022826,0.000075,0.000073,1.438549,1.437219,0.037703,0.046117,0.003290,0.003291,0.000060,0.000059,138.980303,138.979736,0.264391,0.239394
processed_data_batch_60.npz,150,150,90,60,0,0.022820,0.022823,0.000080,0.000082,1.438671,1.436394,0.049150,0.062145,0.003290,0.003371,0.000088,0.000644,139.144831,139.239903,0.305170,0.932884
processed_data_batch_61.npz,150,150,82,68,0,0.022857,0.022863,0.000084,0.000081,1.427046,1.435555,0.066517,0.055205,0.003283,0.003282,0.000056,0.000062,139.349150,139.341579,0.275935,0.277289
processed_data_batch_62.npz,150,150,70,80,0,0.022856,0.022856,0.000076,0.000087,1.422882,1.427419,0.065523,0.059989,0.003302,0.003377,0.000073,0.000644,139.430828,139.422089,0.282004,0.962362
processed_data_batch_63.npz,150,150,89,61,0,0.022899,0.022908,0.000070,0.000076,1.427961,1.427293,0.081775,0.072409,0.003288,0.003306,0.000061,0.000208,139.503206,139.442975,0.269719,0.513582
processed_data_batch_64.npz,150,150,89,61,0,0.022919,0.022917,0.000092,0.000100,1.424074,1.422677,0.061172,0.065198,0.003294,0.003390,0.000137,0.000952,139.485711,139.581930,0.388206,1.084358
processed_data_batch_65.npz,150,150,89,61,0,0.022892,0.022897,0.000080,0.000079,1.426755,1.430203,0.048768,0.046892,0.003295,0.003292,0.000061,0.000061,139.542417,139.551532,0.268230,0.269898
processed_data_batch_66.npz,150,150,86,64,0,0.022920,0.022917,0.000096,0.000091,1.430977,1.428394,0.044124,0.055237,0.003333,0.003358,0.000255,0.000560,139.614327,139.609175,0.487952,0.569915
processed_data_batch_67.npz,150,150,88,62,0,0.022914,0.022916,0.000086,0.000102,1.426083,1.431106,0.071006,0.061281,0.003281,0.003347,0.000065,0.000644,139.683814,139.574011,0.302938,1.037229
processed_data_batch_68.npz,150,150,92,58,0,0.022906,0.022901,0.000079,0.000110,1.426031,1.418588,0.064704,0.073730,0.003278,0.003393,0.000063,0.001378,139.620755,139.657892,0.243928,0.447586
processed_data_batch_69.npz,150,150,70,80,0,0.022899,0.022901,0.000076,0.000075,1.420794,1.422255,0.058270,0.065088,0.003289,0.003292,0.000073,0.000101,139.688633,139.665198,0.292669,0.302634
