filename,B_mean_ols,B_mean_wls,B_std_ols,B_std_wls,I0_mean_ols,I0_mean_wls,I0_std_ols,I0_std_wls,residuals_std_mean_ols,residuals_std_mean_wls,residuals_std_std_ols,residuals_std_std_wls,tau_mean_ols,tau_mean_wls,tau_std_ols,tau_std_wls
processed_data_batch_40.npz,0.023101,0.022700,0.000297,0.000133,1.444360,1.443280,0.060326,0.060866,0.003405,0.003432,0.000795,0.000933,139.158003,139.435836,1.634433,1.391422
processed_data_batch_41.npz,0.023101,0.022723,0.000202,0.000092,1.452809,1.452126,0.032364,0.032723,0.003325,0.003344,0.000197,0.000305,139.142108,139.355454,0.371903,0.529011
processed_data_batch_42.npz,0.023098,0.022733,0.000091,0.000081,1.437394,1.436863,0.071576,0.071612,0.003294,0.003302,0.000059,0.000060,139.039632,139.228981,0.328613,0.288588
processed_data_batch_43.npz,0.023084,0.022737,0.000235,0.000104,1.446672,1.446389,0.047482,0.047123,0.003379,0.003398,0.000706,0.000758,139.060895,139.198892,1.323694,1.034980
processed_data_batch_44.npz,0.023134,0.022766,0.000111,0.000078,1.452660,1.452133,0.038150,0.038245,0.003311,0.003321,0.000089,0.000106,138.674086,138.862582,0.335373,0.352184
processed_data_batch_45.npz,0.023102,0.022740,0.000099,0.000092,1.448185,1.447745,0.034367,0.034301,0.003299,0.003306,0.000064,0.000065,138.454485,138.627814,0.310762,0.263634
processed_data_batch_46.npz,0.023160,0.022780,0.000252,0.000088,1.435122,1.434417,0.056085,0.056106,0.003366,0.003392,0.000549,0.000685,137.760181,137.975597,0.828497,0.501307
processed_data_batch_47.npz,0.023182,0.022811,0.000095,0.000073,1.431058,1.430459,0.056672,0.056648,0.003292,0.003301,0.000067,0.000072,135.797796,135.994474,0.397414,0.360157
processed_data_batch_48.npz,0.023141,0.022780,0.000086,0.000067,1.364223,1.363828,0.052941,0.052992,0.003231,0.003238,0.000062,0.000062,121.676795,121.831803,1.971050,1.997892
processed_data_batch_49.npz,0.023095,0.022722,0.000075,0.000069,0.995751,0.995137,0.048126,0.048430,0.003031,0.003038,0.000095,0.000103,68.866107,69.007654,3.772059,3.752245
processed_data_batch_50.npz,0.023010,0.022634,0.000054,0.000058,0.299197,0.298955,0.036655,0.036628,0.002897,0.002899,0.000059,0.000060,26.262782,26.382480,1.516223,1.514512
processed_data_batch_51.npz,0.023008,0.022637,0.000057,0.000064,0.047593,0.047747,0.005444,0.005398,0.002874,0.002874,0.000057,0.000057,13.796832,13.893429,0.472391,0.486634
processed_data_batch_52.npz,0.023040,0.022665,0.000058,0.000063,0.044307,0.044452,0.004735,0.004709,0.002889,0.002889,0.000058,0.000058,13.598745,13.700026,0.446440,0.462088
processed_data_batch_53.npz,0.023043,0.022668,0.000060,0.000065,0.263928,0.263741,0.036210,0.036154,0.002894,0.002895,0.000059,0.000059,24.842729,24.961368,1.454806,1.455353
processed_data_batch_54.npz,0.023125,0.022744,0.000091,0.000068,0.958735,0.958001,0.054139,0.054604,0.003045,0.003055,0.000189,0.000237,66.044405,66.201230,3.837541,3.825066
processed_data_batch_55.npz,0.023238,0.022860,0.000104,0.000080,1.359102,1.358355,0.050035,0.049928,0.003225,0.003235,0.000061,0.000064,120.578907,120.783399,2.431797,2.478893
processed_data_batch_56.npz,0.023230,0.022870,0.000118,0.000080,1.428924,1.428467,0.047653,0.047429,0.003325,0.003335,0.000249,0.000259,135.838870,136.008997,0.471914,0.401875
processed_data_batch_57.npz,0.023244,0.022880,0.000091,0.000077,1.418360,1.417857,0.064287,0.064324,0.003296,0.003304,0.000064,0.000065,137.858981,138.044216,0.316416,0.262564
processed_data_batch_58.npz,0.023279,0.022917,0.000116,0.000081,1.431432,1.430932,0.057457,0.057462,0.003297,0.003308,0.000065,0.000083,138.422386,138.605488,0.346945,0.330080
processed_data_batch_59.npz,0.023200,0.022834,0.000088,0.000075,1.437785,1.437250,0.046112,0.046112,0.003307,0.003315,0.000058,0.000060,138.784745,138.973454,0.304319,0.242010
processed_data_batch_60.npz,0.023227,0.022831,0.000246,0.000087,1.437387,1.436431,0.062089,0.062158,0.003371,0.003399,0.000537,0.000671,138.970379,139.232591,0.530118,0.932970
processed_data_batch_61.npz,0.023223,0.022868,0.000096,0.000083,1.435949,1.435579,0.055265,0.055211,0.003301,0.003308,0.000062,0.000063,139.174761,139.336877,0.335359,0.280927
processed_data_batch_62.npz,0.023241,0.022867,0.000254,0.000091,1.428042,1.427469,0.059847,0.059997,0.003377,0.003404,0.000530,0.000671,139.210933,139.411839,0.507526,0.962745
processed_data_batch_63.npz,0.023274,0.022917,0.000100,0.000080,1.427774,1.427330,0.072347,0.072406,0.003324,0.003332,0.000211,0.000217,139.261596,139.435508,0.598702,0.517798
processed_data_batch_64.npz,0.023282,0.022925,0.000287,0.000107,1.423148,1.422711,0.065170,0.065198,0.003398,0.003419,0.000897,0.000990,139.403252,139.575041,1.206580,1.088669
processed_data_batch_65.npz,0.023271,0.022906,0.000099,0.000081,1.430767,1.430240,0.046828,0.046895,0.003308,0.003316,0.000063,0.000063,139.354775,139.543990,0.316663,0.269919
processed_data_batch_66.npz,0.023281,0.022924,0.000263,0.000097,1.428825,1.428427,0.055172,0.055224,0.003362,0.003386,0.000483,0.000581,139.436043,139.602237,0.764540,0.570267
processed_data_batch_67.npz,0.023282,0.022925,0.000107,0.000109,1.431636,1.431146,0.061375,0.061280,0.003366,0.003374,0.000667,0.000671,139.389778,139.565714,1.022082,1.042484
processed_data_batch_68.npz,0.023241,0.022910,0.000494,0.000120,1.418732,1.418628,0.073296,0.073729,0.003388,0.003420,0.001124,0.001423,139.538155,139.649713,1.346863,0.457612
processed_data_batch_69.npz,0.023261,0.022908,0.000097,0.000077,1.422621,1.422287,0.065143,0.065101,0.003310,0.003317,0.000103,0.000104,139.500656,139.658950,0.354536,0.302960
processed_data_batch_70.npz,0.023312,0.022953,0.000091,0.000082,1.416771,1.416321,0.058616,0.058599,0.003295,0.003303,0.000063,0.000064,139.535324,139.714022,0.298195,0.231225
processed_data_batch_71.npz,0.023236,0.022875,0.000145,0.000100,1.423129,1.422721,0.061299,0.061178,0.003335,0.003345,0.000240,0.000253,139.523308,139.694124,0.621592,0.484555
processed_data_batch_72.npz,0.023241,0.022879,0.000100,0.000081,1.430022,1.429574,0.046093,0.046043,0.003303,0.003311,0.000058,0.000058,139.539312,139.716640,0.361392,0.286277
processed_data_batch_73.npz,0.023302,0.022908,0.000388,0.000117,1.428890,1.427859,0.065696,0.065541,0.003444,0.003475,0.001137,0.001370,139.363089,139.621427,1.711891,1.009062
processed_data_batch_74.npz,0.023324,0.022962,0.000085,0.000073,1.426147,1.425679,0.057251,0.057243,0.003312,0.003320,0.000068,0.000069,139.552860,139.733473,0.340917,0.273330
processed_data_batch_75.npz,0.023381,0.023029,0.000175,0.000100,1.413086,1.412781,0.073405,0.073198,0.003371,0.003389,0.000377,0.000415,139.515854,139.667779,0.531698,0.652566
processed_data_batch_76.npz,0.023475,0.023112,0.000109,0.000093,1.427530,1.427056,0.049120,0.049119,0.003313,0.003321,0.000059,0.000061,139.527982,139.709447,0.303618,0.238756
processed_data_batch_77.npz,0.023430,0.023082,0.000227,0.000107,1.426778,1.426474,0.054699,0.054910,0.003369,0.003394,0.000474,0.000537,139.490150,139.639691,0.941626,0.989398
processed_data_batch_78.npz,0.023473,0.023110,0.000089,0.000072,1.430823,1.430337,0.047312,0.047279,0.003311,0.003319,0.000058,0.000059,139.569124,139.752322,0.317254,0.246226
processed_data_batch_79.npz,0.023457,0.023095,0.000164,0.000093,1.425141,1.424728,0.053137,0.053364,0.003359,0.003375,0.000425,0.000484,139.616686,139.791826,0.605950,0.873193
processed_data_batch_80.npz,0.023455,0.023083,0.000092,0.000076,1.431029,1.430405,0.044706,0.044713,0.003327,0.003337,0.000194,0.000199,139.609545,139.817363,0.510250,0.527702
processed_data_batch_81.npz,0.023487,0.023109,0.000156,0.000079,1.430050,1.429382,0.057956,0.058014,0.003343,0.003359,0.000228,0.000316,139.623590,139.839217,0.337997,0.516263
processed_data_batch_82.npz,0.023427,0.023076,0.000211,0.000087,1.422609,1.422367,0.050485,0.050678,0.003344,0.003364,0.000287,0.000431,139.637634,139.784475,0.313552,0.585658
processed_data_batch_83.npz,0.023446,0.023086,0.000225,0.000127,1.434619,1.434183,0.046238,0.046063,0.003386,0.003398,0.000835,0.000870,139.698921,139.868543,1.404617,1.075081
processed_data_batch_84.npz,0.023466,0.023094,0.000135,0.000097,1.427723,1.427107,0.064108,0.064225,0.003367,0.003378,0.000429,0.000441,139.481054,139.684486,0.788318,0.727691
processed_data_batch_85.npz,0.023644,0.023301,0.000310,0.000119,1.419931,1.419689,0.059360,0.059596,0.003366,0.003387,0.000657,0.000806,139.626641,139.765549,1.145652,0.615452
processed_data_batch_86.npz,0.023941,0.023584,0.000109,0.000094,1.431655,1.431169,0.048734,0.048704,0.003320,0.003329,0.000061,0.000062,139.486807,139.668201,0.314344,0.263060
processed_data_batch_87.npz,0.023925,0.023586,0.000239,0.000103,1.429954,1.429762,0.051550,0.051174,0.003383,0.003406,0.000520,0.000632,139.537209,139.666739,0.629677,0.749215
processed_data_batch_88.npz,0.023948,0.023613,0.000257,0.000102,1.427236,1.427045,0.054745,0.054932,0.003363,0.003379,0.000563,0.000662,139.662747,139.791649,0.898728,0.496735
processed_data_batch_89.npz,0.023948,0.023594,0.000155,0.000095,1.430644,1.430197,0.054395,0.054294,0.003363,0.003373,0.000528,0.000550,139.681503,139.853387,0.842037,0.633448
processed_data_batch_90.npz,0.023933,0.023618,0.000361,0.000127,1.436962,1.436981,0.059765,0.059599,0.003446,0.003473,0.001070,0.001180,139.785133,139.866437,1.694651,1.193357
processed_data_batch_91.npz,0.024003,0.023663,0.000152,0.000100,1.424899,1.424665,0.062352,0.062430,0.003332,0.003343,0.000173,0.000200,139.604002,139.744142,0.343172,0.432049
processed_data_batch_92.npz,0.023962,0.023603,0.000105,0.000081,1.436195,1.435734,0.047914,0.048004,0.003335,0.003344,0.000098,0.000101,139.631296,139.809560,0.313476,0.276836
processed_data_batch_93.npz,0.023940,0.023578,0.000130,0.000084,1.434299,1.433758,0.047819,0.047790,0.003335,0.003347,0.000137,0.000178,139.630085,139.819908,0.342280,0.430261
processed_data_batch_94.npz,0.023868,0.023519,0.000230,0.000095,1.435739,1.435405,0.042642,0.042814,0.003446,0.003466,0.000874,0.000926,139.632387,139.784049,0.761332,0.583857
processed_data_batch_95.npz,0.023769,0.023405,0.000176,0.000092,1.433138,1.432653,0.060090,0.060149,0.003365,0.003380,0.000437,0.000486,139.610864,139.795927,0.438271,0.329499
processed_data_batch_96.npz,0.023839,0.023460,0.000160,0.000148,1.431632,1.430891,0.067347,0.067489,0.003348,0.003360,0.000223,0.000227,139.633051,139.859928,0.587401,0.601642
processed_data_batch_97.npz,0.024037,0.023685,0.000143,0.000092,1.425042,1.424684,0.062371,0.062416,0.003329,0.003342,0.000084,0.000112,139.616124,139.778980,0.308901,0.336175
processed_data_batch_98.npz,0.023958,0.023604,0.000100,0.000085,1.439088,1.438670,0.046693,0.046582,0.003319,0.003326,0.000059,0.000061,139.697560,139.866955,0.323428,0.258061
processed_data_batch_99.npz,0.023851,0.023481,0.000193,0.000118,1.435007,1.434293,0.050368,0.050238,0.003364,0.003377,0.000493,0.000555,139.546023,139.758012,0.986362,0.730898
processed_data_batch_100.npz,0.023738,0.023374,0.000210,0.000093,1.429239,1.428705,0.060719,0.060987,0.003360,0.003381,0.000293,0.000389,139.574749,139.766031,0.397907,0.681459
processed_data_batch_101.npz,0.023794,0.023437,0.000093,0.000083,1.438254,1.437854,0.045912,0.045915,0.003329,0.003336,0.000064,0.000064,139.642832,139.811077,0.286182,0.241013
