filename,Raw_successful_fits,Raw_I0_mean,Raw_Tau_mean,Raw_B_mean,Raw_Residuals_Std_mean,Raw_I0_std,Raw_Tau_std,Raw_B_std,Raw_Residuals_Std_std,Raw_I0_min,Raw_Tau_min,Raw_B_min,Raw_Residuals_Std_min,Raw_I0_max,Raw_Tau_max,Raw_B_max,Raw_Residuals_Std_max,Savitzky-Golay_successful_fits,Savitzky-Golay_I0_mean,Savitzky-Golay_Tau_mean,Savitzky-Golay_B_mean,Savitzky-Golay_Residuals_Std_mean,Savitzky-Golay_I0_std,Savitzky-Golay_Tau_std,Savitzky-Golay_B_std,Savitzky-Golay_Residuals_Std_std,Savitzky-Golay_I0_min,Savitzky-Golay_Tau_min,Savitzky-Golay_B_min,Savitzky-Golay_Residuals_Std_min,Savitzky-Golay_I0_max,Savitzky-Golay_Tau_max,Savitzky-Golay_B_max,Savitzky-Golay_Residuals_Std_max,CONV_successful_fits,CONV_I0_mean,CONV_Tau_mean,CONV_B_mean,CONV_Residuals_Std_mean,CONV_I0_std,CONV_Tau_std,CONV_B_std,CONV_Residuals_Std_std,CONV_I0_min,CONV_Tau_min,CONV_B_min,CONV_Residuals_Std_min,CONV_I0_max,CONV_Tau_max,CONV_B_max,CONV_Residuals_Std_max
processed_data_batch_46.npz,150,1.4351221577134308,137.74779661715098,0.023205911543454586,0.0035722642687129186,0.056086482698039446,0.903718391275784,0.0005038151733217543,0.0006813935612433438,1.0639259194189243,127.55565944160847,0.022047346705673605,0.0033524330745863733,1.4990426856915267,138.60799110909178,0.028112287972793942,0.011539275453963063,150,1.4351273068213626,137.74721218858025,0.023206199289045173,0.0008948171639250701,0.056081991936868296,0.9015808010023804,0.0005026279391255799,0.0008400200467111248,1.063950788085718,127.58273547497029,0.022048719442846625,0.00061674759861974,1.4990362212242379,138.59111665695636,0.028097583995965677,0.010524438433971293,150,1.4355055567736996,137.69919479306083,0.023186799130317542,0.0007845680196754622,0.05618124896777368,0.9261383709686696,0.0005188349102133978,0.0007971227091223336,1.0641366135370887,127.22549607417005,0.022061628955510965,0.0005537600226582891,1.4994929888088209,138.54381051434095,0.028340632670062454,0.009820724080146477
processed_data_batch_47.npz,150,1.431056321293302,135.78657994260186,0.023224353831252077,0.003474118473181577,0.05667144392953941,0.4104883871508531,0.00017018613309346324,7.744565001948531e-05,0.9672325132655911,134.71217296550472,0.022849245405286926,0.0032928459473851937,1.4950922725858138,136.90858504416238,0.024345645503573612,0.0037142719072741984,150,1.431059686987666,135.7862270501822,0.023224548478315267,0.0007917258731937335,0.05667601804831201,0.41074307032171636,0.00017032859839433376,9.245369838425148e-05,0.9672205916155705,134.7091954482213,0.022851228293364393,0.000590365510542944,1.4951218022836088,136.90894000750578,0.02434514644045068,0.0014473274433404286,150,1.4314573488917253,135.74165171913907,0.023199509071742185,0.0006930603511876672,0.05674569820793692,0.4147090803833456,0.0001761415389387775,9.597012963536599e-05,0.9672424591843757,134.63295708427532,0.022798897707628506,0.0005689568752652458,1.4954965139482597,136.91895839961117,0.02435452587262502,0.0014326648393687995
processed_data_batch_48.npz,150,1.3642229620206858,121.67148124937019,0.02316684842428517,0.0033917257333464794,0.05294098544896225,1.9660358117299412,0.00014079716655241166,6.849238509616262e-05,1.1721958848566494,118.81334315807773,0.02283480605721162,0.0032002031760973424,1.4293067154206114,125.96479163583568,0.023581484115298798,0.0035748420833291252,150,1.364220206627273,121.67170858538542,0.02316678108456998,0.0007626306888858105,0.052941445010893796,1.9656449738757829,0.00014121956036359468,7.2796762500694e-05,1.1721866219583954,118.80850845816344,0.022830925061455263,0.0006161668589617077,1.429343934843113,125.96840637110769,0.023579848450717873,0.0010373437492754995,150,1.364592694617356,121.64741468929273,0.023108947102632484,0.0006779673540531144,0.05304514157074184,1.963307523433209,0.00014430806497930197,6.939535105565327e-05,1.1721916094587932,118.73943900735853,0.022767209631698027,0.0005597245418171103,1.4299063541440837,125.92502478077672,0.02355477424638314,0.0009999754326543515
processed_data_batch_49.npz,150,0.9957509749802337,68.85908609137174,0.02312840752703678,0.00310577994288401,0.04812626561101564,3.7743812960689462,0.00010053557136492265,0.00012272874551732112,0.8063577041427866,63.35971260444784,0.022534585327876253,0.0029771895553142727,1.1160408308264582,77.67454599460366,0.023374763685011294,0.004393926492622065,150,0.9957540072936448,68.85881013008911,0.023128518109633324,0.0006633460556027163,0.04812007771050152,3.7747108209855385,0.00010075035271365887,0.00014512283160240827,0.8063691393100823,63.35983619221731,0.022529303763935336,0.0005253304054601238,1.116005483765136,77.67350993378658,0.023376277438343918,0.002324535301388006,150,0.9731226898632063,69.96320218445878,0.022798979506568038,0.0010999907493499485,0.05025322349020226,3.5829604770505084,0.00010655990520560224,0.0001769004437589247,0.7862321377582921,64.71921534397143,0.022300368522039555,0.0007891180770462147,1.1011338051369435,78.3237947060995,0.0230926286170284,0.0024822504731643324
processed_data_batch_50.npz,150,0.2991968178439789,26.257098491723134,0.023028220585368523,0.002902577280154575,0.03665470129337064,1.5159352793484322,6.305687451325143e-05,6.141329606727018e-05,0.2251128686772819,24.082573072923378,0.022847511167239067,0.0027942569332943235,0.393925056162478,29.96845235385495,0.02326261539151936,0.003021221644100287,150,0.29919725871905894,26.25555878874314,0.02302827841027949,0.0005582196462226546,0.03664118653325542,1.5165509513465865,6.305616355726177e-05,3.371785701676598e-05,0.22514736043349057,24.079338054188135,0.022846071026249803,0.00048171798651182286,0.39386156090642876,29.970361165762633,0.023262378236883707,0.0006328077318441193,150,0.2859514850541039,27.3158807269759,0.022834972519794928,0.0018532222950963372,0.03624108494770471,1.475279822752517,6.269335717154621e-05,0.00011857533047235851,0.21401628032225173,25.189945597788075,0.022656148243542024,0.0014958442816153466,0.38055217878763525,30.872347001716538,0.02307330223810427,0.0020990161242515153
processed_data_batch_51.npz,150,0.04759330009679095,13.779246247517362,0.02302371167522751,0.0028729953172148865,0.005443709879066191,0.47991911174184837,6.415930489922136e-05,5.880310788215638e-05,0.03359801827625357,12.609357885132033,0.022824062883610875,0.0027648821124808967,0.06313219826633994,15.218631550921563,0.023185161476169985,0.0030007687180240374,150,0.04759801707593921,13.768185180398298,0.02302390664274546,0.0005452692684885411,0.0054455940738252695,0.4803204691838472,6.427000159699903e-05,2.8864069462723517e-05,0.033579634318298544,12.60721872642787,0.02282442261684676,0.00046252250843978955,0.06315906621099396,15.21146545186213,0.023185621576507075,0.0006241748421491151,150,0.053929081808921316,14.655693034557467,0.02287140995865095,0.0006506881734924141,0.0033947777052808405,0.5624663827154893,6.299150926446382e-05,2.592942072818954e-05,0.04537526902621569,13.483812786923547,0.022674052778439625,0.000557604300311669,0.06406980751423809,16.250833696823353,0.023030689554386283,0.0007124761271200264
processed_data_batch_52.npz,150,0.044307558640252015,13.583951079861235,0.023052118237660787,0.0028894512702844787,0.004734603193502184,0.44873653941397684,6.956262548395385e-05,6.067875268200012e-05,0.029348602735599087,12.606415400821637,0.022899396751274267,0.0027804582960232966,0.05411012377332505,14.64815207233005,0.023200603438347633,0.003021559575865567,150,0.044313980781865873,13.574479861911266,0.02305216905674546,0.0005513755365319219,0.004737016082334535,0.4494763323188887,6.963905332332124e-05,3.565900923111676e-05,0.02934923235210671,12.595895467235364,0.022898854275753094,0.00045694223450934,0.05410038122629959,14.660926878439044,0.023200559508968415,0.000696183543301944,150,0.05185492876998796,14.325415002743348,0.022900560684878838,0.000654036281488673,0.002910922590917587,0.47891804137148547,6.915867930737437e-05,3.160085982906583e-05,0.04299335477429727,13.256097031200154,0.022746177891768936,0.0005933050313627921,0.05785650248473159,15.296930291134206,0.02305165425039375,0.0007758414999274614
processed_data_batch_53.npz,150,0.26392755794516964,24.836686324211417,0.023061356841615456,0.002901511646079115,0.036210367646583315,1.4549935997781296,6.786152932669105e-05,6.191564895584253e-05,0.1818932274370972,21.512433220289893,0.022880801752038736,0.0027967628585982575,0.32038849951894377,27.070916957404812,0.023275163204275556,0.0031249817590483973,150,0.263927389767064,24.834682352413136,0.023061480684008553,0.000559751324223489,0.036206462948897816,1.4554627452173121,6.782887218101372e-05,4.4951634682900376e-05,0.18182945674684883,21.51090018743685,0.022881350223513612,0.00045349757746591067,0.32035198128745984,27.068552814999556,0.02327572175155987,0.0008758407566674089,150,0.2512368660674355,25.93384826321545,0.02287617418604581,0.0017071978674575025,0.03530845880533289,1.4292382995059527,6.58053674987092e-05,0.0002069363335480634,0.17185179427404426,22.643445993486733,0.02270566800811838,0.0011749523555170472,0.3061190813577207,28.107832736939994,0.023076426234174906,0.0020727329481309382
processed_data_batch_54.npz,150,0.9587350094132224,66.03763072989794,0.023157164215283153,0.003119329812786929,0.05413810127098652,3.837078912198194,0.00013415293283734335,0.0002484682656636751,0.7747819812983012,57.577425406864904,0.02293177636882532,0.002970442615565051,1.0469609489226082,71.65367865821463,0.02429614200157144,0.006015203251346382,150,0.9587304838498619,66.03777113296584,0.023157128186085233,0.0006761027212288111,0.054135208909597,3.8371264013453747,0.0001342258545506545,0.0003570127967763469,0.7748682363607297,57.5737909269647,0.02293179524008759,0.0005546608934285014,1.0469824326131456,71.65636892415733,0.02429698119912276,0.004980852496920551,150,0.9340366348817478,67.29351495756563,0.022794187314923137,0.001230914755148016,0.055725818037940425,3.6547166161646456,0.00014246268102122378,0.0003385451045959334,0.7509209948068141,59.22411777377185,0.022543071044237778,0.0008945235443087203,1.0260953704409372,72.64690766000638,0.023862276940988296,0.004749130652791802
processed_data_batch_55.npz,150,1.3591012550866548,120.56287959321052,0.0232952396072196,0.0033799272500938562,0.050034615446842075,2.4240937433631116,0.0001679183512052695,7.016116090552237e-05,1.0679342386669664,114.80819925196947,0.02281910572240147,0.0032283666627657384,1.4258618628915563,124.35546650775021,0.023745068799984205,0.0035756954753595215,150,1.3591009123547615,120.56291883877772,0.023295234370195258,0.0007673828710517409,0.050036324686935786,2.4243722304775024,0.00016784272770322198,7.130224201108216e-05,1.0679373628916116,114.80946643981619,0.02281687185536336,0.000601668881632247,1.4258879927403694,124.35405275654236,0.023748967763800796,0.0010541658681238783,150,1.359409023328073,120.54245058313599,0.02323539092014215,0.0006851370284407049,0.05012788342551382,2.421521771693253,0.00017129374338290893,6.291058762377214e-05,1.0677932696664751,114.80160724339042,0.022754719716758173,0.0005456483099890414,1.4263781071709905,124.31102258971592,0.02370847812802563,0.0010078689152014575
processed_data_batch_56.npz,150,1.4289228744007032,135.83292905497652,0.023258717602213513,0.0035212511814491313,0.04765164388329899,0.49589243769268704,0.00022134520726976796,0.00032548345137837175,1.217935995257362,134.66801015062862,0.021971156696030558,0.0032915558432257282,1.5565989480728446,138.69212770427922,0.02461205368228852,0.0065098705110488864,150,1.428922321490736,135.83299003249536,0.023258818135380263,0.0008480335855922248,0.047670333305598146,0.4972334276814929,0.00022196791345626129,0.00044342576146905985,1.217927822155571,134.66245662276478,0.02195501257357835,0.0006268607649841825,1.556920801182565,138.7293177598579,0.024618173632657708,0.005088614821935053,150,1.4293682590207217,135.78260940891255,0.023236224126445534,0.0007235788210952407,0.047664406977131535,0.4857192584581019,0.00021573111589430613,0.00024738692209843043,1.2181413884037098,134.60264501020532,0.02214551769149901,0.0005607267058998032,1.5583519433052009,138.24618368651971,0.024582689853911047,0.003008500968031377
processed_data_batch_57.npz,150,1.4183591477996818,137.84881210745482,0.02328244541706754,0.003479819601746823,0.06428767748044902,0.33492360041313046,0.00015791612047995758,7.122983807698291e-05,1.0919634364280102,136.9389970925734,0.02291757377103672,0.003339595051101915,1.4883202959048307,138.61600780932747,0.023769011324518762,0.0036905257641260897,150,1.4183647409009617,137.84816627134876,0.023282842434905936,0.0007982206410085273,0.06429005001322148,0.33507607734763684,0.00015777280677519622,7.25407709162416e-05,1.0919446440024096,136.93357895102275,0.02291902698382253,0.0006599906559165531,1.4883064947661586,138.6167833796591,0.023769187987810952,0.0009879790095130654,150,1.4187001890770963,137.80597590880785,0.023259849658598397,0.000688965161892784,0.06439692580770527,0.342603771867673,0.00016350047745375708,6.599113991047313e-05,1.0919800816774516,136.83798135264863,0.022894807566777427,0.0005443074031007205,1.4890866077102844,138.56941139634637,0.0237536994466791,0.0009000380316676514
processed_data_batch_58.npz,150,1.4314315551976067,138.41478436061442,0.023310900855897727,0.0034858069711616283,0.057456311819865144,0.36567591238537606,0.0002177356089321887,7.361225891979917e-05,1.093589759283379,137.48395942938487,0.022872480499484874,0.003322572922455905,1.4953065814189772,139.24414440940467,0.024980478208885538,0.003834478552548206,150,1.431436115856315,138.4142840331959,0.023311169385713863,0.0008037203681440097,0.05746065661433572,0.36541530034819925,0.00021804141821613607,0.00011490663433938858,1.0935863319744321,137.4793663425143,0.022868367758118076,0.0006191046932253136,1.495326980518066,139.24414895025436,0.024979904275309536,0.0018161972124129966,150,1.4317517202709715,138.3741102667208,0.023287691421682345,0.0007029981487417195,0.05753132531789278,0.37220395490696406,0.00022170712142158383,0.00012594444368653452,1.0938489420528863,137.4136555691833,0.022856062267303474,0.0005304890480769899,1.495968230947897,139.2252544627509,0.02499469700820008,0.0018281922350456105
processed_data_batch_59.npz,150,1.4377841338811743,138.77395249308844,0.0232407085657564,0.0034962803038924035,0.04611175835113615,0.3234993859910179,0.00014671885670545457,6.412393663639786e-05,1.0894201801283785,137.94395608845235,0.022926486108641474,0.00324638845459429,1.4870369397140393,139.52833826913246,0.023657170140875473,0.0036381394163382728,150,1.437786858342263,138.77370480543385,0.023240724749496313,0.000798126876254672,0.04611174187402936,0.32340130437004255,0.00014706950001902325,6.705927892942911e-05,1.089404033937902,137.9399948165884,0.02292402938657792,0.0006595487099341668,1.4870771025343175,139.53019786256513,0.02366026437567121,0.000984598605130266,150,1.4381079689809158,138.73191892748775,0.023218860584116617,0.0006971868786659868,0.04617320712132089,0.3300849017434025,0.00015178617095532216,6.438265489984896e-05,1.0894800581391109,137.84757028646152,0.02289243504854595,0.0005600661693365339,1.4874962407868477,139.51206207848466,0.02365054731025371,0.000923221206975954
processed_data_batch_60.npz,150,1.4373862625272398,138.94773296935776,0.023298051407391527,0.0035794650380923856,0.062089041150251746,0.4859542435914602,0.0005172638197406749,0.000673117611874098,1.042118507453584,137.73501020308728,0.022690391054158644,0.003226564719226058,1.584827544547916,142.44921767571591,0.027379570281739096,0.010310444934481489,150,1.437389245844873,138.94737202137972,0.023298276193764008,0.0009222054431884538,0.062086390151360665,0.485752802396926,0.0005173958483152117,0.0009106903777957268,1.042141524900915,137.74217910925094,0.022693603089407495,0.0006393490268992806,1.5847690400034335,142.44553482048119,0.027383165906234474,0.009648584700218286,150,1.4377204830173949,138.90347980638393,0.023278118019365954,0.000812804976287629,0.06212606553343484,0.48523584288021954,0.0005187591904835068,0.000899388232046277,1.0420286615528487,137.93805314439018,0.022656754317999232,0.0005438035307443059,1.5825800049694427,142.35634015581294,0.027396903160003934,0.00973266983604567
processed_data_batch_61.npz,150,1.4359485515018577,139.17292975454964,0.02323977984427459,0.0034923876832640695,0.05526529309418537,0.3536682545850613,0.0001545947400282958,7.080741335696303e-05,1.0647339578513477,138.17374794197954,0.022925292874408663,0.0032949988379408395,1.4928850640384952,139.9644195671899,0.02366583007587768,0.0036648701925493625,150,1.4359482001684494,139.17300296649665,0.023239683535173028,0.0007917366972086965,0.05526771493708667,0.3533799925167508,0.0001543510030270898,6.134560747283289e-05,1.0647197917663183,138.16622721505684,0.02292625079788918,0.000648498529112454,1.4929137619421453,139.95970427220232,0.023664463635269556,0.0009653508916644263,150,1.4362699048481442,139.130098877137,0.023219417396119064,0.0006867591443006592,0.055335688214912325,0.3609004775155976,0.00016007933527586337,6.232916872945232e-05,1.0650903957446136,138.10296488509687,0.02289312818646538,0.0005555665879582165,1.4931575510072603,139.94217214574857,0.023666138206841606,0.0008966709479291289
processed_data_batch_62.npz,150,1.4280423861129998,139.1988637240492,0.02328307155149077,0.0035817209671294287,0.059846958970963794,0.45139949507977106,0.0005333538280692131,0.0006591728365405957,1.177182618094374,137.37498769220485,0.021383887425578573,0.0033247282316299495,1.6023374804556354,142.0872467925641,0.02870572311160695,0.010650993390389133,150,1.4280419088512835,139.19896335099872,0.023282973559348927,0.0009312360930605348,0.059851217640840365,0.4515020432416117,0.0005335559582568497,0.0008757109359566655,1.177168505849732,137.37608649334993,0.021382578630338586,0.0006593034152903127,1.6023429785692576,142.08514661342497,0.028707620537241515,0.009995651765934836,150,1.4283657580400697,139.15538353423568,0.02326310540262132,0.0008235725788479734,0.059906020252602374,0.4578098694253407,0.000537339629556583,0.0008559159936590314,1.1775872066984894,137.38735701590602,0.021328272818699347,0.0005477002302196715,1.6012814099253148,142.05785320075535,0.02869665627891318,0.010061813681340485
