filename,successful_fits,I0_count,I0_mean,I0_std,I0_min,I0_25%,I0_50%,I0_75%,I0_max,Tau_count,Tau_mean,Tau_std,Tau_min,Tau_25%,Tau_50%,Tau_75%,Tau_max,B_count,B_mean,B_std,B_min,B_25%,B_50%,B_75%,B_max,Residuals_std_count,Residuals_std_mean,Residuals_std_std,Residuals_std_min,Residuals_std_25%,Residuals_std_50%,Residuals_std_75%,Residuals_std_max
processed_data_batch_21.npz,150,150,1.3757640678158185,0.03774421715235407,1.1970308640416334,1.3633737904566683,1.3883808377026683,1.3987688517316843,1.4245528284990923,150,122.62235134881278,0.8460222525749885,120.29010882754585,121.89241033104545,122.96827998049292,123.28714904651846,123.92187932537794,150,0.022011017933947972,0.00010517534450302104,0.021740315441424095,0.021947874608162117,0.0220153339984032,0.022077726052921805,0.022245665007062692,150,0.0032267176000474506,5.483177883321861e-05,0.0031121722418345882,0.0031792295028350744,0.0032266927108617763,0.0032699815445449546,0.003351869430463131
processed_data_batch_22.npz,150,150,1.4307306336698158,0.05365761025148479,0.9614864496875417,1.42097140607099,1.4432589988568867,1.4588543637817522,1.483123189202004,150,135.8763496271464,0.3964549597009486,134.79992329069722,135.68898884899704,135.9393827446014,136.14303479948802,136.55239281211013,150,0.02220827579225735,0.00010408925237940307,0.02195814489700373,0.022123470138472726,0.0222081852376087,0.022278109366799914,0.022480179450656404,150,0.0032771364266517616,5.8715276113774886e-05,0.0031108895923454005,0.003232668183017092,0.003272708187479452,0.003323206035578479,0.003403612154549523
processed_data_batch_23.npz,150,150,1.4377971503212101,0.05715953891257694,1.1015815303620515,1.4278746173646006,1.4549925450934877,1.4689430685533176,1.4948688820952916,150,138.98421486598517,0.3176713343818883,138.15603701783317,138.76901988288023,138.9966056966373,139.21481542063032,139.7808060703029,150,0.022370339325166563,9.485809883248895e-05,0.02213612124734478,0.022302516767532157,0.022373247667648574,0.022437205662186765,0.02261212013262955,150,0.0032834648618131888,5.969215002007929e-05,0.003153399673796747,0.0032394154836834763,0.0032795087703496625,0.0033301952530642716,0.0034721730894518425
processed_data_batch_24.npz,150,150,1.433129862316754,0.056500735171421713,1.1880468039588812,1.4145605682321807,1.4526287955132844,1.4720892807796693,1.4947438334094858,150,139.2764452543364,0.3261065587841591,138.30501444803986,139.05643220596207,139.25631056932093,139.5073682041559,140.0048265056831,150,0.022523780928550886,0.00010406142066147563,0.022288523254808314,0.0224504708751277,0.02252599211759631,0.02260471422581882,0.02274202961903897,150,0.0032807876278260007,5.923587899629423e-05,0.0031147092632166167,0.0032331081798999736,0.0032732591454049274,0.0033259301024221167,0.0034416865720155758
processed_data_batch_25.npz,150,150,1.445146977524523,0.053637133641201394,1.0359957000005204,1.437584881706896,1.4581485705277684,1.473647731319145,1.5010872888681976,150,139.3705618611168,1.4649759581556208,130.28136053890742,139.09686654619924,139.339973480685,139.58410868271312,153.97325078999714,150,0.02262532482934886,0.0003166811165338884,0.01968305546930377,0.02257663627099721,0.02263615682328845,0.02268514471420111,0.02374180841499617,150,0.003412346608271888,0.0008298591146012923,0.0031789892757919276,0.0032365674521931077,0.003281204086788023,0.0033351647338248406,0.010923513751556332
processed_data_batch_26.npz,150,150,1.451042552008079,0.04684395910032536,1.077745168763553,1.4429716662085434,1.4625953710634405,1.4737025233358234,1.5052510908907661,150,139.4896852888837,0.39902554078052727,138.21333431133255,139.23683094556174,139.50204595055584,139.71457102904984,141.58536636542254,150,0.02274486215578339,0.00010751425607138102,0.022371890438265374,0.022679706257813643,0.0227370533631484,0.022808674858284306,0.023432906773488835,150,0.00330678739908171,0.00010396533886317443,0.0031756470642658246,0.0032527606177584997,0.003290747432029931,0.0033467141284330097,0.004350759926190615
processed_data_batch_27.npz,150,150,1.4528035879270382,0.03943613030157546,1.2608903175126347,1.4460115481412261,1.4623147158299685,1.476705194030648,1.5075406278363397,150,139.37480901910178,0.306553811306588,138.64477736611357,139.1619001133596,139.34835928666897,139.56389151319271,140.13849116584163,150,0.02282227409345877,0.00010182471465434126,0.0225591809679307,0.022756586709130208,0.022812469672828538,0.02289314896025082,0.0231155997501751,150,0.003302198526316691,5.5810549547418865e-05,0.0031771015688842577,0.0032596289745926697,0.003302898220010296,0.003348999956301126,0.0034272563029673865
processed_data_batch_28.npz,150,150,1.4552185575963195,0.02866164542219017,1.3580651127986152,1.4425487539095545,1.4629553108423812,1.4754555589809348,1.5085561145260746,150,139.53012654667978,0.31921560262189735,138.71445236134963,139.28735564645234,139.53077359735053,139.76724973223804,140.34678843808157,150,0.022890628631225773,8.78617405806853e-05,0.02265464473118696,0.022834989489688068,0.022890779385461413,0.022949400375294263,0.02312758339029137,150,0.0032944883538276568,5.640119740538675e-05,0.0031723521604838144,0.0032505905945904683,0.0032917080134269162,0.0033360452682989596,0.003414690203827634
processed_data_batch_29.npz,150,150,1.4303651051749828,0.0683695798744388,1.03012839759744,1.4171225139527899,1.4558572627056483,1.471761195621073,1.4932390576224326,150,139.54200628459594,0.2838747910638022,138.82407970016908,139.35801659178645,139.57693453457716,139.72832263967481,140.29799814222312,150,0.022936910467520076,9.481684852866093e-05,0.022719416460831508,0.02286376412948726,0.022931700060279787,0.02299942258374621,0.023161829264367176,150,0.003287520384235965,5.98011952173162e-05,0.0031426318180218776,0.003237941232647364,0.003284807527376015,0.0033328758025167092,0.0034254561906109458
processed_data_batch_30.npz,150,150,1.4450873972888414,0.05207505866676393,1.1546566306742343,1.4352556274564452,1.4624035104016877,1.4713152797576383,1.5062029084487127,150,139.5480661649529,1.0092702643707003,138.5219155379962,139.2074095172127,139.44321509996038,139.6698964833966,150.78318122429417,150,0.023019313700838585,0.00020972647791390908,0.022128956340318213,0.02294453382389216,0.023010666144197833,0.023081280323473688,0.024823436552700376,150,0.0033711094956139056,0.0005349371776072813,0.0031353620102592453,0.0032527850409833797,0.0032916200026879175,0.0033358045758118517,0.008783983975480192
