filename,signals_in_file,signals_fitted,signals_passed_qc,signals_skipped_qc,signals_failed_to_fit,B_mean_after_qc,B_mean_before_qc,B_std_after_qc,B_std_before_qc,I0_mean_after_qc,I0_mean_before_qc,I0_std_after_qc,I0_std_before_qc,residuals_std_mean_after_qc,residuals_std_mean_before_qc,residuals_std_std_after_qc,residuals_std_std_before_qc,tau_mean_after_qc,tau_mean_before_qc,tau_std_after_qc,tau_std_before_qc
processed_data_batch_49.npz,150,150,30,120,0,0.023094,0.023089,0.000061,0.000073,1.002734,0.995751,0.039677,0.048126,0.003012,0.003022,0.000053,0.000091,68.956710,68.867280,3.328848,3.771988
processed_data_batch_50.npz,150,150,0,150,0,,0.023007,,0.000053,,0.299197,,0.036655,,0.002897,,0.000058,,26.263692,,1.516048
processed_data_batch_51.npz,150,150,0,150,0,,0.023007,,0.000056,,0.047593,,0.005444,,0.002874,,0.000057,,13.798672,,0.472589
processed_data_batch_52.npz,150,150,0,150,0,,0.023040,,0.000058,,0.044307,,0.004735,,0.002889,,0.000058,,13.598701,,0.446728
processed_data_batch_53.npz,150,150,0,150,0,,0.023039,,0.000059,,0.263928,,0.036210,,0.002894,,0.000058,,24.844043,,1.454544
processed_data_batch_54.npz,150,150,18,132,0,0.023142,0.023121,0.000066,0.000088,0.963151,0.958735,0.061356,0.054139,0.003035,0.003035,0.000064,0.000181,68.136666,66.045299,1.999978,3.837863
processed_data_batch_55.npz,150,150,65,85,0,0.023232,0.023231,0.000095,0.000099,1.355294,1.359102,0.052042,0.050035,0.003209,0.003204,0.000061,0.000060,120.615851,120.581061,2.309988,2.431937
processed_data_batch_56.npz,150,150,72,78,0,0.023235,0.023225,0.000115,0.000108,1.426257,1.428924,0.050188,0.047653,0.003279,0.003298,0.000070,0.000238,135.809661,135.840065,0.392122,0.470266
processed_data_batch_57.npz,150,150,71,79,0,0.023246,0.023240,0.000091,0.000087,1.420238,1.418360,0.058853,0.064287,0.003273,0.003271,0.000065,0.000063,137.855564,137.860112,0.329361,0.314765
processed_data_batch_58.npz,150,150,83,67,0,0.023272,0.023271,0.000113,0.000106,1.435661,1.431432,0.043259,0.057457,0.003281,0.003272,0.000061,0.000063,138.423454,138.424896,0.345641,0.344704
