filename,condition,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
resampled_data_batch_68.npz,3,139.684162,0.433611,139.555754,1.294405,139.652254,0.239266,139.453944,0.305598
resampled_data_batch_69.npz,3,139.690910,0.300255,139.519882,0.349512,139.696585,0.296508,139.528289,0.332994
resampled_data_batch_70.npz,3,139.746329,0.228486,139.554915,0.293000,139.754351,0.231622,139.580763,0.301941
resampled_data_batch_71.npz,3,139.725628,0.476207,139.542479,0.609956,139.682598,0.299244,139.496017,0.330064
resampled_data_batch_72.npz,3,139.751570,0.281643,139.559980,0.355480,139.756082,0.282036,139.565216,0.354660
resampled_data_batch_73.npz,3,139.657248,0.986023,139.386829,1.676195,139.739523,0.232734,139.542530,0.282559
resampled_data_batch_74.npz,3,139.767634,0.271641,139.573018,0.335497,139.752931,0.254007,139.563763,0.290514
resampled_data_batch_75.npz,3,139.700348,0.652152,139.534780,0.529807,139.710993,0.395643,139.538796,0.334961
resampled_data_batch_76.npz,3,139.744831,0.239333,139.549630,0.299141,139.741345,0.236491,139.553313,0.311878
resampled_data_batch_77.npz,3,139.674157,0.977736,139.509665,0.931850,139.827922,0.393101,139.632977,0.306690
resampled_data_batch_78.npz,3,139.783167,0.241048,139.588856,0.311095,139.785036,0.223431,139.616263,0.277626
resampled_data_batch_79.npz,3,139.823129,0.861445,139.636366,0.610465,139.790066,0.253361,139.589829,0.300157
resampled_data_batch_80.npz,3,139.849964,0.515620,139.630864,0.505780,139.805801,0.281656,139.571395,0.333924
resampled_data_batch_81.npz,3,139.872136,0.515211,139.645390,0.338775,139.852968,0.256343,139.657830,0.308646
resampled_data_batch_82.npz,3,139.818710,0.592805,139.657136,0.316278,139.851460,0.229274,139.648519,0.278443
resampled_data_batch_83.npz,3,139.899602,1.049106,139.717907,1.378249,139.840333,0.264078,139.661531,0.295276
resampled_data_batch_84.npz,3,139.724558,0.716296,139.504649,0.779716,139.766779,0.270920,139.551920,0.298481
resampled_data_batch_85.npz,3,139.796112,0.601247,139.643883,1.112344,139.779738,0.201978,139.577668,0.256519
resampled_data_batch_86.npz,3,139.702456,0.260161,139.507534,0.309524,139.701239,0.263115,139.499156,0.313556
resampled_data_batch_87.npz,3,139.703193,0.751983,139.557238,0.622102,139.706502,0.231636,139.507433,0.261284
resampled_data_batch_88.npz,3,139.822034,0.483794,139.680276,0.872734,139.785325,0.231065,139.606390,0.274781
