filename,I0_mean_orig,I0_mean_filt,I0_std_orig,I0_std_filt,tau_mean_orig,tau_mean_filt,tau_std_orig,tau_std_filt,B_mean_orig,B_mean_filt,B_std_orig,B_std_filt,residuals_std_mean_orig,residuals_std_mean_filt,residuals_std_std_orig,residuals_std_std_filt
processed_data_batch_59.npz,1.437785,1.437785,0.046112,0.046112,138.784745,138.784830,0.304319,0.304350,0.023200,0.023200,0.000088,0.000088,0.003307,0.002953,0.000058,0.000070
processed_data_batch_60.npz,1.437387,1.437104,0.062089,0.062329,138.970379,139.053258,0.530118,1.211376,0.023227,0.023179,0.000246,0.000408,0.003371,0.003109,0.000537,0.001280
processed_data_batch_61.npz,1.435949,1.435948,0.055265,0.055266,139.174761,139.174897,0.335359,0.335391,0.023223,0.023222,0.000096,0.000096,0.003301,0.002965,0.000062,0.000062
processed_data_batch_62.npz,1.428042,1.427946,0.059847,0.059854,139.210933,139.237714,0.507526,0.658343,0.023241,0.023225,0.000254,0.000198,0.003377,0.003054,0.000530,0.000799
processed_data_batch_63.npz,1.427774,1.427764,0.072347,0.072362,139.261596,139.263597,0.598702,0.579454,0.023274,0.023273,0.000100,0.000096,0.003324,0.002994,0.000211,0.000326
processed_data_batch_64.npz,1.423148,1.422882,0.065170,0.065268,139.403252,139.488385,1.206580,2.091881,0.023282,0.023230,0.000287,0.000789,0.003398,0.003086,0.000897,0.001152
processed_data_batch_65.npz,1.430767,1.430766,0.046828,0.046828,139.354775,139.354892,0.316663,0.316692,0.023271,0.023271,0.000099,0.000099,0.003308,0.002953,0.000063,0.000065
processed_data_batch_66.npz,1.428825,1.428329,0.055172,0.055016,139.436043,139.575923,0.764540,1.819923,0.023281,0.023196,0.000263,0.000822,0.003362,0.003131,0.000483,0.001429
processed_data_batch_67.npz,1.431636,1.431627,0.061375,0.061371,139.389778,139.391385,1.022082,1.004662,0.023282,0.023281,0.000107,0.000104,0.003366,0.003028,0.000667,0.000780
processed_data_batch_68.npz,1.418732,1.418499,0.073296,0.073176,139.538155,139.610528,1.346863,2.217544,0.023241,0.023196,0.000494,0.001041,0.003388,0.003026,0.001124,0.001091
processed_data_batch_69.npz,1.422621,1.422620,0.065143,0.065143,139.500656,139.500776,0.354536,0.354510,0.023261,0.023261,0.000097,0.000097,0.003310,0.002946,0.000103,0.000105
processed_data_batch_70.npz,1.416771,1.416770,0.058616,0.058616,139.535324,139.535417,0.298195,0.298250,0.023312,0.023312,0.000091,0.000091,0.003295,0.002941,0.000063,0.000063
processed_data_batch_71.npz,1.423129,1.423127,0.061299,0.061299,139.523308,139.523458,0.621592,0.621606,0.023236,0.023236,0.000145,0.000145,0.003335,0.002968,0.000240,0.000247
processed_data_batch_72.npz,1.430022,1.430021,0.046093,0.046093,139.539312,139.539425,0.361392,0.361363,0.023241,0.023241,0.000100,0.000100,0.003303,0.002931,0.000058,0.000050
processed_data_batch_73.npz,1.428890,1.428633,0.065696,0.065675,139.363089,139.419503,1.711891,1.151989,0.023302,0.023270,0.000388,0.000145,0.003444,0.003137,0.001137,0.001882
processed_data_batch_74.npz,1.426147,1.426146,0.057251,0.057251,139.552860,139.553011,0.340917,0.340934,0.023324,0.023324,0.000085,0.000085,0.003312,0.002930,0.000068,0.000052
processed_data_batch_75.npz,1.413086,1.413046,0.073405,0.073366,139.515854,139.524423,0.531698,0.477788,0.023381,0.023376,0.000175,0.000203,0.003371,0.003029,0.000377,0.000648
processed_data_batch_76.npz,1.427530,1.427529,0.049120,0.049120,139.527982,139.528101,0.303618,0.303628,0.023475,0.023475,0.000109,0.000109,0.003313,0.002933,0.000059,0.000050
processed_data_batch_77.npz,1.426778,1.426252,0.054699,0.054936,139.490150,139.633373,0.941626,1.414242,0.023430,0.023346,0.000227,0.000879,0.003369,0.003139,0.000474,0.001331
processed_data_batch_78.npz,1.430823,1.430822,0.047312,0.047312,139.569124,139.569229,0.317254,0.317263,0.023473,0.023472,0.000089,0.000089,0.003311,0.002936,0.000058,0.000051
processed_data_batch_79.npz,1.425141,1.425047,0.053137,0.053154,139.616686,139.642425,0.605950,0.677572,0.023457,0.023442,0.000164,0.000245,0.003359,0.003022,0.000425,0.000783
processed_data_batch_80.npz,1.431029,1.431017,0.044706,0.044737,139.609545,139.612736,0.510250,0.539340,0.023455,0.023454,0.000092,0.000094,0.003327,0.002956,0.000194,0.000234
processed_data_batch_81.npz,1.430050,1.429804,0.057956,0.058105,139.623590,139.692634,0.337997,1.026293,0.023487,0.023447,0.000156,0.000388,0.003343,0.003038,0.000228,0.001128
processed_data_batch_82.npz,1.422609,1.422364,0.050485,0.050411,139.637634,139.702329,0.313552,0.716938,0.023427,0.023389,0.000211,0.000670,0.003344,0.003004,0.000287,0.000809
processed_data_batch_83.npz,1.434619,1.434617,0.046238,0.046240,139.698921,139.700525,1.404617,1.423010,0.023446,0.023445,0.000225,0.000238,0.003386,0.003007,0.000835,0.000818
processed_data_batch_84.npz,1.427723,1.427712,0.064108,0.064118,139.481054,139.483007,0.788318,0.768399,0.023466,0.023465,0.000135,0.000131,0.003367,0.002996,0.000429,0.000539
processed_data_batch_85.npz,1.419931,1.419690,0.059360,0.059269,139.626641,139.702371,1.145652,2.056040,0.023644,0.023597,0.000310,0.000867,0.003366,0.002996,0.000657,0.000895
processed_data_batch_86.npz,1.431655,1.431653,0.048734,0.048734,139.486807,139.486954,0.314344,0.314316,0.023941,0.023941,0.000109,0.000109,0.003320,0.002943,0.000061,0.000056
processed_data_batch_87.npz,1.429954,1.429719,0.051550,0.051898,139.537209,139.604866,0.629677,0.946984,0.023925,0.023887,0.000239,0.000675,0.003383,0.003057,0.000520,0.000867
processed_data_batch_88.npz,1.427236,1.426996,0.054745,0.054779,139.662747,139.736910,0.898728,1.784118,0.023948,0.023903,0.000257,0.000791,0.003363,0.003008,0.000563,0.000903
processed_data_batch_89.npz,1.430644,1.430644,0.054395,0.054392,139.681503,139.682326,0.842037,0.850295,0.023948,0.023947,0.000155,0.000163,0.003363,0.002986,0.000528,0.000540
processed_data_batch_90.npz,1.436962,1.436489,0.059765,0.059905,139.785133,139.919224,1.694651,2.241336,0.023933,0.023853,0.000361,0.000946,0.003446,0.003158,0.001070,0.001551
processed_data_batch_91.npz,1.424899,1.424898,0.062352,0.062352,139.604002,139.604141,0.343172,0.343188,0.024003,0.024003,0.000152,0.000152,0.003332,0.002955,0.000173,0.000184
processed_data_batch_92.npz,1.436195,1.436194,0.047914,0.047914,139.631296,139.631375,0.313476,0.313480,0.023962,0.023962,0.000105,0.000105,0.003335,0.002953,0.000098,0.000092
processed_data_batch_93.npz,1.434299,1.434298,0.047819,0.047818,139.630085,139.630246,0.342280,0.342293,0.023940,0.023940,0.000130,0.000130,0.003335,0.002957,0.000137,0.000143
processed_data_batch_94.npz,1.435739,1.435482,0.042642,0.043499,139.632387,139.706441,0.761332,0.671905,0.023868,0.023829,0.000230,0.000381,0.003446,0.003140,0.000874,0.001453
processed_data_batch_95.npz,1.433138,1.432897,0.060090,0.060322,139.610864,139.679229,0.438271,0.917173,0.023769,0.023730,0.000176,0.000595,0.003365,0.003044,0.000437,0.000930
processed_data_batch_96.npz,1.431632,1.431618,0.067347,0.067380,139.633051,139.637785,0.587401,0.634019,0.023839,0.023836,0.000160,0.000166,0.003348,0.002972,0.000223,0.000289
processed_data_batch_97.npz,1.425042,1.425041,0.062371,0.062371,139.616124,139.616227,0.308901,0.308905,0.024037,0.024037,0.000143,0.000143,0.003329,0.002950,0.000084,0.000085
processed_data_batch_98.npz,1.439088,1.439087,0.046693,0.046692,139.697560,139.697677,0.323428,0.323431,0.023958,0.023958,0.000100,0.000100,0.003319,0.002945,0.000059,0.000053
processed_data_batch_99.npz,1.435007,1.434996,0.050368,0.050361,139.546023,139.547608,0.986362,0.969277,0.023851,0.023850,0.000193,0.000187,0.003364,0.002999,0.000493,0.000580
processed_data_batch_100.npz,1.429239,1.428968,0.060719,0.061014,139.574749,139.651735,0.397907,1.001812,0.023738,0.023695,0.000210,0.000376,0.003360,0.003082,0.000293,0.001221
processed_data_batch_101.npz,1.438254,1.438253,0.045912,0.045912,139.642832,139.642952,0.286182,0.286185,0.023794,0.023794,0.000093,0.000093,0.003329,0.002947,0.000064,0.000053
