filename,condition,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC,tau_mean_robust,tau_std_robust,tau_mean_robust_QC,tau_std_robust_QC
resampled_data_batch_57.npz,2,138.067934,0.259071,137.870815,0.311685,138.065916,0.261984,137.872067,0.326432,137.872924,0.303788,137.877274,0.315500
resampled_data_batch_58.npz,2,138.637420,0.326188,138.436936,0.341470,138.639699,0.334357,138.427014,0.334437,138.436228,0.335320,138.424061,0.326238
resampled_data_batch_59.npz,2,139.000534,0.237651,138.797545,0.298460,139.004949,0.261733,138.792671,0.324807,138.799285,0.287414,138.793464,0.313328
resampled_data_batch_60.npz,2,139.261850,0.928518,138.987082,0.540222,139.157358,0.301324,138.955775,0.359762,138.980523,0.440405,138.957154,0.351992
resampled_data_batch_61.npz,2,139.358005,0.274274,139.184919,0.329054,139.364931,0.272391,139.225313,0.304586,139.186373,0.315505,139.222177,0.296751
resampled_data_batch_62.npz,2,139.442593,0.960236,139.226052,0.520421,139.444222,0.284682,139.228863,0.320990,139.221078,0.418086,139.239306,0.313650
resampled_data_batch_63.npz,2,139.460926,0.505003,139.273663,0.589942,139.523641,0.260628,139.350065,0.338894,139.270474,0.584928,139.347410,0.325320
resampled_data_batch_64.npz,2,139.600404,1.070283,139.415083,1.187321,139.502959,0.392796,139.303935,0.322522,139.397019,1.003941,139.303840,0.321058
resampled_data_batch_65.npz,2,139.571813,0.267324,139.368155,0.311626,139.561114,0.267815,139.353425,0.305403,139.367931,0.300633,139.351417,0.294344
resampled_data_batch_66.npz,2,139.627299,0.567892,139.447714,0.745801,139.627024,0.498943,139.409049,0.306992,139.437493,0.606039,139.404380,0.286920
resampled_data_batch_67.npz,2,139.592111,1.023659,139.401892,1.014207,139.702480,0.299748,139.511262,0.347958,139.406227,1.016313,139.515466,0.343986
resampled_data_batch_68.npz,2,139.676348,0.433415,139.547668,1.294342,139.644900,0.240342,139.447148,0.306600,139.498524,0.709826,139.448090,0.291608
resampled_data_batch_69.npz,2,139.683124,0.300146,139.511734,0.349521,139.696311,0.290622,139.532167,0.331556,139.507309,0.347826,139.528205,0.328190
resampled_data_batch_70.npz,2,139.738693,0.228718,139.547025,0.292921,139.750238,0.230515,139.576029,0.301472,139.550731,0.280063,139.578746,0.287961
resampled_data_batch_71.npz,2,139.717464,0.476702,139.534482,0.610215,139.669396,0.303338,139.492472,0.324442,139.535802,0.573763,139.494490,0.320431
resampled_data_batch_72.npz,2,139.743651,0.281665,139.551822,0.355656,139.750861,0.282120,139.575619,0.347824,139.553951,0.344176,139.574052,0.337732
resampled_data_batch_73.npz,2,139.649423,0.985825,139.378552,1.676331,139.740991,0.233762,139.534058,0.284908,139.413191,1.298221,139.531678,0.280300
resampled_data_batch_74.npz,2,139.760179,0.271409,139.565079,0.335165,139.754440,0.243539,139.570998,0.299145,139.567639,0.323912,139.567905,0.288281
resampled_data_batch_75.npz,2,139.692306,0.651999,139.526849,0.529781,139.704444,0.400731,139.547459,0.340487,139.519102,0.488664,139.544784,0.329964
resampled_data_batch_76.npz,2,139.737059,0.239266,139.541266,0.298893,139.716607,0.229847,139.522348,0.304135,139.540411,0.291996,139.521633,0.298507
