filename,condition,tau_mean_WLS,tau_std_WLS,tau_mean_OLS,tau_std_OLS,tau_mean_WLS_QC,tau_std_WLS_QC,tau_mean_OLS_QC,tau_std_OLS_QC
processed_data_batch_37.npz,4000,142.715013,2.542096,142.763205,2.838024,142.417927,0.471083,142.938399,3.629439
processed_data_batch_38.npz,4000,142.301187,0.936590,142.293552,0.888090,142.373950,0.464061,142.345509,0.499237
processed_data_batch_39.npz,4000,142.382521,0.465933,142.352043,0.508901,142.405145,0.420605,142.379003,0.458851
processed_data_batch_40.npz,4000,142.371787,0.880195,142.413391,0.529647,142.313606,0.387815,142.342171,0.468359
processed_data_batch_41.npz,4000,142.454143,0.792871,142.409602,0.630988,142.371656,0.428248,142.369634,0.441692
processed_data_batch_42.npz,4000,142.457192,0.429753,142.451401,0.514833,142.474671,0.415057,142.477456,0.528050
processed_data_batch_43.npz,4000,142.532713,1.148620,142.539295,1.406683,142.490396,0.399371,142.497444,0.469205
processed_data_batch_44.npz,4000,142.374014,1.673795,142.418493,0.873072,142.591398,0.467093,142.544427,0.520133
processed_data_batch_45.npz,4000,142.424366,0.443732,142.418674,0.504332,142.480712,0.443347,142.451939,0.503889
processed_data_batch_46.npz,4000,142.292788,1.416757,142.298323,1.033156,142.409265,0.436832,142.442509,0.490433
processed_data_batch_47.npz,4000,142.217708,0.439134,142.223895,0.480448,142.193090,0.441910,142.211230,0.441218
processed_data_batch_48.npz,4000,140.329253,0.471857,140.328020,0.537118,140.357428,0.535646,140.315660,0.573717
processed_data_batch_49.npz,4000,134.918001,0.766421,134.957419,0.778466,134.881515,0.685261,134.842100,0.683318
processed_data_batch_54.npz,4000,142.006467,3.007098,142.060789,2.571915,142.206098,0.495582,142.237457,0.555694
processed_data_batch_55.npz,4000,142.492042,0.447805,142.490017,0.485915,142.472563,0.436173,142.420839,0.478631
processed_data_batch_56.npz,4000,142.596782,1.278292,142.568279,1.243619,142.439785,0.385125,142.427307,0.429938
processed_data_batch_57.npz,4000,142.728512,3.259964,142.856753,4.936551,142.478579,0.447529,142.456432,0.475990
processed_data_batch_58.npz,4000,142.517310,0.387893,142.517322,0.475261,142.536160,0.420432,142.523281,0.507469
processed_data_batch_59.npz,4000,142.324913,0.814763,142.343021,0.647787,142.490940,0.441128,142.460391,0.470983
processed_data_batch_60.npz,4000,142.509118,0.412621,142.502001,0.485006,142.492056,0.375435,142.534987,0.454573
processed_data_batch_61.npz,4000,142.485290,1.177635,142.487365,1.033575,142.473777,0.435019,142.497554,0.474038
processed_data_batch_62.npz,4000,142.531602,0.451486,142.527501,0.539409,142.502873,0.491132,142.512516,0.582946
processed_data_batch_63.npz,4000,142.530932,0.874374,142.533482,0.777442,142.419142,0.438023,142.414526,0.500056
processed_data_batch_64.npz,4000,142.555127,0.418734,142.555096,0.493227,142.567220,0.437963,142.532795,0.481554
processed_data_batch_65.npz,4000,142.497886,1.624774,142.428811,1.154170,142.420609,0.450397,142.375901,0.492070
processed_data_batch_66.npz,4000,142.518238,0.421950,142.530292,0.506045,142.529203,0.431386,142.551893,0.500121
processed_data_batch_67.npz,4000,142.567949,1.260345,142.598808,1.335795,142.504681,0.517964,142.520175,0.559736
processed_data_batch_68.npz,4000,142.492899,0.971806,142.510191,0.902398,142.621146,0.442928,142.616861,0.487672
processed_data_batch_69.npz,4000,142.413860,1.014336,142.481806,0.739586,142.522028,0.383727,142.497508,0.462361
processed_data_batch_70.npz,4000,142.404946,0.470424,142.383781,0.518821,142.426740,0.475287,142.393683,0.506968
processed_data_batch_71.npz,4000,142.521043,0.453598,142.506077,0.585469,142.525874,0.448831,142.523451,0.534361
processed_data_batch_72.npz,4000,142.578025,0.424067,142.587301,0.492138,142.600825,0.458579,142.598816,0.548521
processed_data_batch_73.npz,4000,142.510324,1.531936,142.463124,1.716823,142.575501,0.345032,142.552650,0.435402
processed_data_batch_74.npz,4000,142.540728,0.432179,142.551593,0.481562,142.494707,0.449238,142.519426,0.485507
processed_data_batch_75.npz,4000,142.485842,0.750432,142.555586,0.712560,142.569507,0.424787,142.554345,0.484947
processed_data_batch_76.npz,4000,142.519105,0.419294,142.510467,0.483522,142.491843,0.385096,142.477598,0.474611
processed_data_batch_77.npz,4000,142.473809,1.198151,142.504690,1.012807,142.645102,0.468411,142.627171,0.525512
processed_data_batch_78.npz,4000,142.561414,0.468196,142.575315,0.536297,142.468557,0.497577,142.465960,0.586093
processed_data_batch_79.npz,4000,142.848657,2.362312,142.740422,1.307570,142.592149,0.279527,142.570865,0.325766
processed_data_batch_80.npz,4000,142.508448,0.462841,142.523084,0.534506,142.502989,0.477246,142.522600,0.556489
processed_data_batch_81.npz,4000,142.487806,0.649865,142.524893,0.616236,142.590213,0.424323,142.577591,0.468479
processed_data_batch_82.npz,4000,142.597840,0.444229,142.597505,0.512513,142.595259,0.392378,142.618046,0.447210
processed_data_batch_83.npz,4000,142.726531,2.290653,142.629769,1.501794,142.563701,0.451777,142.581146,0.465798
processed_data_batch_84.npz,4000,142.518372,0.423367,142.508327,0.504409,142.527810,0.396858,142.506394,0.475140
processed_data_batch_85.npz,4000,142.586633,0.423580,142.608846,0.451693,142.607470,0.358644,142.599117,0.430103
processed_data_batch_86.npz,4000,142.940183,4.016431,143.092960,5.578713,142.672360,0.401367,142.699598,0.469579
processed_data_batch_87.npz,4000,142.523275,0.458482,142.538763,0.537332,142.486299,0.467027,142.461805,0.514428
processed_data_batch_88.npz,4000,142.596206,0.834099,142.538111,0.659606,142.626090,0.421902,142.589520,0.499211
processed_data_batch_89.npz,4000,142.662594,0.853790,142.759044,1.153323,142.538350,0.430732,142.543000,0.498722
processed_data_batch_90.npz,4000,142.716859,1.875363,142.739813,2.441359,142.537695,0.447775,142.543100,0.484888
processed_data_batch_91.npz,4000,142.563622,0.463760,142.581928,0.507034,142.466049,0.401719,142.506008,0.513038
processed_data_batch_92.npz,4000,142.563029,3.029796,142.529917,2.715019,142.338912,0.415125,142.303193,0.467770
processed_data_batch_93.npz,4000,141.711589,0.461260,141.712627,0.518801,141.740366,0.476201,141.764670,0.528425
processed_data_batch_94.npz,4000,140.643530,1.051071,140.768180,2.099044,140.682207,0.415513,140.690683,0.467446
processed_data_batch_95.npz,4000,140.672486,0.647012,140.673249,0.589788,140.603830,0.418742,140.587784,0.516947
processed_data_batch_96.npz,4000,141.774345,0.454499,141.770182,0.499367,141.732762,0.442332,141.713288,0.519061
processed_data_batch_97.npz,4000,142.400298,0.436439,142.395874,0.507594,142.402777,0.430885,142.380767,0.483103
processed_data_batch_98.npz,4000,142.704973,1.067387,142.661713,0.803813,142.628131,0.393639,142.594632,0.465480
processed_data_batch_99.npz,4000,142.605435,0.409441,142.578967,0.576027,142.587091,0.413260,142.590972,0.517998
